father	اب
مزار	مزار شریف
Herat	هرات
stork	لک‌لک
beginning	آغاز
buttercup	آلاله
frog	قورباغه
level	درجه
reserve	رزرو کردن
Ordibehesht	اردیبهشت
Khordad	خرداد
Mordad	مرداد
Shahrivar	شهریور
Aban	آبان
fire	آذر
yester	دی
Esfand	اسفند
civic	شهری
blacksmith	آهنگر
petroleum	نفت
ancestor	نیا
cup	جام
خاور	خاورمیانه
bed	بستر
life	حیات
vital	حیاتی
mufti	مفتی
جنگ	جنگ سرد
ocean	اقیانوس
oceanic	اقیانوسی
hospital	بیمارستان
common	رایج
-istan	ستان
Kazakhstan	قزاقستان
asylum	تیمارستان
Mongolia	مغولستان
mountain	کوهستان
Serbia	صربستان
Kurdistan	کردستان
academy	فرهنگستان
Arabian Peninsula	عربستان
Turkestan	ترکستان
bedroom	شبستان
fallow	آیش
volcano	آتش‌فشان
lava	گدازه
Iblis	ابلیس
leadership	امامت
ummah	امت
pond	استخر
pub	میخانه
zurkhaneh	زورخانه
burn	سوختن
burnt	سوخته
burn	سوختگی
hyacinth	سنبل
refrigerator	یخچال
orphan	یتیم
orphanage	یتیم‌خانه
word	کلمه
thesis	تز
apricot	خوبانی
memory	یاد
یاد	یاد گرفتن
length	طول
lullaby	لالایی
bed	سریر
south	جنوب
blatant	بارز
father	اتا
spoon	چمچه
pit	چال
icy	یخی
buck	کل
eye	عین
media	رسانه‌ها
foreword	برنامه
statement	گفته
government	حکومت
definition	تعریف
boundary	مرز
Uzbek	ازبک
Communist	کمونیست
wax	موم
masturbation	جلق
panther	پلنگ
farsighted	دوربین
travel	سفر کردن
hyena	کفتار
lens	عدسی
speed	سرعت
electricity	برق
delicious	لذیذ
battery	باطری
battery	باتری
راه	راه رفتن
possible	ممکن
rope	حبل
mountain	جبل
dear	عزیز
type	نوع
universe	کیهان
cosmology	کیهان‌شناسی
cosmologist	کیهان‌شناس
universal	کیهانی
Russian	روسی
Slavic	اسلاوی
all	همه
ورزش	ورزش کردن
تشکر	تشکر کردن
thanks	تشکر
important	مهم
weigh	وزن کردن
fold	تا کردن
season	فصل
ghazal	غزل
riot	آشوب
slogan	شعار
bill	لایحه
mustard	خردل
piece	تکه
board	تخته
calf	گوساله
talk	صحبت
صحبت	صحبت کردن
eyelid	پلک
Buddhist	بودایی
brake	ترمز
brake	ترمز کردن
honey	انگبین
honey	شهد
horse-drawn	درشکه
hearing	سمع
whenever	وقتی
hacker	هکر
melancholy	مالیخولیا
melancholy	ماخولیا
dawn	بامداد
neurologist	عصب‌شناس
perestroika	پروستریکا
weapon	سلاح
proxy	پروکسی
celebration	جشن
university	کنکور
serial	سریال
fast	روزه
loyalty	وفا
diamond	الماس
ruby	یاقوت
turquoise	فیروزه
mine	معدن
person	نفر
sans	بدون
shit	عن
opportunity	فرصت
vacation	تعطیل
Zoroastrian	مجوسی
old woman	عجوز
Mrs.	آغا
test	آزمایش
test	آزمودن
experienced	آزموده
experience	آزمودگی
khagan	خاقان
pencil	مداد
burqa	برقع
almond	بادم
knowledgeable	بلد
pus	هو
lammergeier	هما
outer space	فضای بیرونی
sword	شمشیر
lentil	عدس
usually	معمولا
نماز	نماز خواندن
بیدار	بیدار شدن
mineralogy	کانی‌شناسی
limb	اندام
beloved	دلدار
enamoured	دلداده
cigarette	سیگارت
Abbas	عباس
girly	دخترانه
lame	لنگ
need	نیاز
Vista	ویستا
Punjabi	پنجابی
pastime	سرگرمی
frying pan	تاوه
United Nations	سازمان ملل متحد
united	متحد
corpse	جسد
ginger	زنجبیل
poor	فقیر
understanding	فهم
basket	سبد
shelter	پناهگاه
loving	عاشق
shark	کوسه
refugee	پناهنده
machine gun	مسلسل
carpentry	نجاری
collected	کود
fugitive	فراری
emigrant	مهاجر
measles	سرخک
close	نزدیک
blanket	پتو
sauce	سوس
successful	موفق
homeland	وطن
هم	هموطن
patriot	وطن‌پرست
patriotism	وطن‌پرستی
kidney	کلیه
peerless	بی‌نظیر
laziness	تنبلی
lineage	نژاد
death	وفات
extra	اضافه
edge	لبه
bracelet	دستبند
ZWNJ	دانش‌آموز
agriculture	کشاورزی
tasty	خوش‌مزه
harvest	خرمن
unbeliever	کافر
expensive	گران
ZWNJ	کفشدوزک
path	چمن
henna	حنا
drunk	مست
budget	بودجه
irrigation	آبیاری
mad	دیوانه
trunk	تنه
purchase	خرید
raisin	کشمش
false	کاذب
efficient	کارا
fatal	مهلک
local	محلی
wounded	مجروح
crowded	شلوغ
cassette	کاست
crop	محصول
palace	کاخ
doubt	شک
injury	صدمه
footballer	فوتبالیست
nationality	ملیت
national	ملی
many	بسیار
reporter	خبرنگار
dentist	دندان‌پزشک
ZWNJ	انرژی هسته‌ای
doctor	پزشک
toothbrush	مسواک
heavy water	آب سنگین
clove	میخک
birthday	تولد
sorry	متاسف
regretful	پشیمان
regret	پشیمانی
چشم	چشم‌پزشک
روان	روان‌پزشک
powder	پودر
first	اول
ticket	بلیت
خود	خودکشی
خودکشی	خودکشی کردن
family	خانواده
point of view	دیدگاه
workshop	کارگاه
court	دادگاه
impartial	بی‌طرف
wireless	بی‌سیم
unemployment	بیکاری
Scotland	اسکاتلند
Scottish	اسکاتلندی
happy	خوشحال
sunlight	آفتاب
شکار	شکار کردن
thief	دزد
of course	البته
cave	کهف
ammunition	مهمات
enemy	دشمن
emerald	زمرد
curtain	پرده
composer	آهنگساز
sour cherry	آلبالو
abscess	آبسه
party	حزب
hymen	پرده بکارت
worship	پرستیدن
theft	دزدی
armed	مسلح
law	قانون
کوشش	کوشش کردن
پاک	پاک کردن
wound	مجروح کردن
پیدا	پیدا کردن
suggest	پیشنهاد کردن
accept	قبول کردن
تفریح	تفریح کردن
satisfy	راضی کردن
اصرار	اصرار کردن
حمام	حمام کردن
حاضر	حاضر کردن
حساب	حساب کردن
understand	درک کردن
اعلام	اعلام کردن
believe	اعتقاد داشتن
need	لازم داشتن
add	اضافه کردن
کم	کم کردن
باز	باز کردن
صبر	صبر کردن
مغلوب	مغلوب کردن
دزدی	دزدی کردن
دوست	دوست داشتن
change	عوض کردن
receive	دریافت کردن
بو	بو کردن
دستبرد	دستبرد زدن
bomb	بمباران کردن
shine	درخشیدن
پرواز	پرواز کردن
cry	گریه کردن
scholar	دانشمند
flattery	تملق
فکر	فکر کردن
refuse	رد کردن
discover	کشف کردن
tuberculosis	سل
حرف	حرف زدن
perception	درک
hum	زمزمه کردن
make	روشن کردن
victory	پیروزی
outside	بیرون
progress	پیشرفت
twentieth	بیستم
پیشرفت	پیشرفت کردن
worry	دلواپسی
companion	همدم
friend	رفیق
grief	غم
traveller	مسافر
village	دهگان
bill	قبض
fast	تند
healthy	سالم
run	دویدن
sail	بادبان
tale	داستان
saddle	زین
shop	دکان
eastern	شرقی
past	گذشته
skilled	استاد
mathematical	ریاضی
beginning	شروع
very	رحیم
cart	گاری
quadruped	چرند
now	اکنون
station	ایستگاه
hopeful	امیدوار
revolutionary	انقلابی
rebel	شورشی
tiny	کوچولو
جمهوری	جمهوری چک
grazer	چرنده
non-	نا
graze	چریدن
cinnamon	دارچین
turmeric	زردچوبه
spice	ادویه
show	نمایش
dance	رقص
collective	گروهی
گروهی	رسانه‌های گروهی
تخم	تخم مرغ
turnip	شلغم
primary school	دبستان
secondary school	دبیرستان
reproduction	تکثیر
rule of law	حکومت قانون
sultanate	سلطنت
sin	گناه
bee	زنبور
photography	عکاسی
leadership	رهبری
bird	مرغ
خشونت	خشونت خانگی
domestic	خانگی
flight	پرواز
harshness	خشونت
درد	درد کردن
fatty	چرب
request	خواهش
brother	داداش
food	غذا
librarian	کتابدار
caravan	کاروان
capital	پایتخت
question	پرسش
acclamation	آفرین
torpedo	اژدر
clean	تمیز
thorn	خار
narcissus	نرگس
grateful	ممنون
tourist	جهانگرد
company	شرکت
function	تابع
heat	تاب
inhabitable	آباد
development	آبادانی
village	آبادی
bracelet	ابرنجن
bracelet	ابرنجین
justice	داد
table	جدول
hand	دس
moustache	بروت
جدا	جدا کردن
perineum	میاندوراه
perineum	عجان
perineum	پرینه
tadpole	بچه قورباغه
Tasmania	تاسمانی
subtitle	زیرنویس
Jean	ژان
piglet	خوکچه
wheel	چرخ
Pashto	پشتو
magic	جادو
unfortunate	بدبخت
ophthalmology	چشم‌پزشکی
plaza	میدان
boat	قایق
army	قشون
box	قوطی
falcon	قوش
apricot	قیصی
mediator	میانجی
mediation	میانجیگری
mediate	میانجیگری نمودن
mediate	میانجیگری کردن
microbe	میکرب
arms	یراق
Noah	نوح
boot	چزمه
boot	چکمه
beginning	ابتدا
initiative	ابتکار
piece	پارچه
brightness	روشنی
light	روشن
یکی	یکی بود یکی نبود
paper	کاغذ
arrival	ورود
pigeon	کبوتر
goddess	الهه
white	سپید
long for	سفید داشتن
hat	کلاه
dormitory	خوابگاه
accent	لهجه
enlightened	روشنفکر
shit	ریدن
balloon	بادکنک
tribal	ایلی
فراموش	فراموش کردن
forgotten	فراموش
forgetfulness	فراموشی
sister-wife	هوو
always	همیشه
gypsy	کولی
short	کوتاه
painter	نقاش
pledge	پیمان
spring	چشمه
killer	قاتل
measure	پیمودن
village	قریه
crocodile	سوسمار
reptile	خزنده
drum	طبل
chain	زنجیر
Ashura	عاشورا
mourning	عزاداری
command	فرمان
shortcoming	تقصیر
acquisition	تحصیل
emperor	امپراتور
imperial	امپراتوری
queen	ملکه
suck	مکیدن
left	چپ
inspiration	الهام
for example	مثلا
meaningless	بی‌معنی
grass	گیاه
drip	چکیدن
colourful	رنگارنگ
parliament	پارلمان
centre	مرکز
blind	کور
conference	کنفرانس
employee	کارمند
meeting	جلسه
unconscious	بی‌هوش
mask	نقاب
metro	مترو
each	هر
alley	کوچه
salamander	سمندر
آشپز	آشپزخانه
cookery	آشپزی
embassy	سفارت
cold	سرما
سرما	سرما خوردن
hard	سخت
confession	اقرار
zurna	سرنا
turban	دستار
greater	اکبر
shop window	ویترین
paradise	بهشت
paradisiacal	بهشتی
prisoner	بندی
baklava	باقلوا
feast	عید
delegate	نماینده
machine	دستگاه
offspring	زاده
shame	شرم
flatiron	اتو
iron	اطو
Britain	بریتانیا
arcade	پاساژ
punishment	مجازات
هیچ	هیچ‌کس
text	متن
Indian rhinoceros	کرگدن
kindness	لطف
cliché	کلیشه
innocent	بی‌گناه
which	کدام
guide	راهنما
that is to say	ای
inflation	تورم
funnel	قیف
Jewish	کلیمی
announcement	اعلام
actor	بازیگر
madness	دیوانگی
publish	نشر کردن
order	پروانگی
lesson	درس
movement	جنبش
education	آموزش
face	آبرو
hair	گیس
mobad	موبد
forehead	پیشانی
lie	دروغ
account	حساب
difficult	مشکل
book	نامه
harbour	لنگرگاه
photographer	عکاس
grain	دانه
frame	قاب
perfume	عطر
ash	خاکستر
poppy	شقایق
anchor	لنگر
solar	شمسی
pass away	درگذشتن
prince	شاهزاده
remedy	درمان
remedy	درمان کردن
birthplace	زادگاه
suffix	پسوند
pronunciation	تلفظ
حفظ	حفظ کردن
synonym	مترادف
similar	مشابه
مُعَرِّفی	معرفی کردن
اجرا	اجرا کردن
ordered	مأمور
order	مأموریت
perfectly	کاملا
layer	لایه
steam	بخار
ewer	ابریق
incantation	افسون
manger	آخور
part	جزء
reception	اخذ
Aristotle	ارسطو
suggestion	پیشنهاد
Baal	بعل
more	ترین
ouch	آخ
legal	قانونی
سرفه	سرفه کردن
ever	هرگز
rib	دنده
bombing	بمباران
۱	یازده
gradually	کم‌کم
حقوق	حقوق بشر
law	حقوق
human	بشر
observer	دیدبان
caviar	خاویار
column	ستون
Sayyid	سید
chaff	کاه
league	لیگ
knife	کارد
bow tie	پاپیون
respect	احترام
sourness	ترشی
temptation	فتنه
special	ویژه
Internet	اینترنت
press	مطبوعات
journalist	ژورنالیست
there	آنجا
appearance	ظهور
appear	ظهور کردن
بعد	بعد از
afterwards	بعدا
با	با هم
approximately	تقریبا
afternoon	عصر
previously	قبلا
kindly	لطفا
sister	همشیره
harmonious	هماهنگ
sympathy	همدردی
suddenly	ناگاه
coalition	ائتلاف
early	زود
دو	دوباره
means	یعنی
aeon	یوم
assistant	یاور
assistance	یاوری
ruling	حاکم
acquainted	آشنا
belonging	تعلق
see	تماشا کردن
loneliness	تنهایی
beauty	زیبایی
nightmare	کابوس
shish kebab	شیش‌کباب
desire	هوس
arm	ارم
mercury	جیوه
occurrence	اتفاق
pulse	ژاژومک
ژاله	ژاله باریدن
rain	باریدن
rain	باران باریدن
برف	برف باریدن
اشک	اشک باریدن
policeman	ژاندرم
ruminate	ژاویدن
depth	ژرفا
patient	ژکفر
patience	ژکفری
midwife	ژم
confidence	اعتبار
protest	اعتراض
that is to say	اعنی
disturbance	اغتشاش
raise	افراشتن
raise	افراختن
ewer	آفتابه
increase	افزودن
tale	افسانه
squeeze	افشردن
افسوس	افسوس خوردن
غصه	غصه خوردن
stand up	ایستادن
slave	عبد
daughter	دخت
منظومه	منظومه شمسی
sister	خوهر
male	نر
east	مشرق
polytheist	مشرک
busy	مشغول
shivering	لرزه
promise	وعده
spirit	روح
will	اراده
devotion	ارادت
gazelle	آهو
thick	ضخیم
necessity	ضرورت
necessary	ضروری
moss	خزه
bitter orange	نارنگ
desire	آرزو
protect	پاییدن
cook	پزیدن
heel	پاشنا
Punjab	پنجاب
long	دراز
fire	آدر
eight	هشت
elbow	ارن
thunder	تندر
فال	فال گرفتن
fall	افتادن
filth	نجاست
наҷис	نجس
battle cruiser	نبردناو
battle	نبرد
nearness	نزدیکی
apoplexy	سکته
apostle	حواری
answer	جواب
جواب	جواب دادن
condition	شرط
towel	آبچین
father	بابک
disease	تم
sister	باجی
homosexual	هم‌جنس‌گرا
otter	هذر
time	روزگار
لب	لب گرفتن
garment	جامه
tomb	آرامگاه
peace	آشتی
probability	احتمال
probably	احتمالا
غیر	غیر ممکن
towel	پیشگیر
Azerbaijani	آذربایجانی
Azerbaijani	آذری
etc.	الخ
taste	مزه
lead	سرب
advantage	فایده
territory	خطه
devil	شیطانه
string	زه
Somalia	سومالی
saltwort	اشنان
amazed	مات
sieve	غربال
vagina	فرج
specter	شبح
woman	دوشیزه
moon	مهشید
kiss	بوس کردن
date	روزمه
ID card	شناسنامه
encyclopedia	دانشنامه
dictionary	فرهنگنامه
Shahnameh	شاهنامه
other	دیگر
existence	وجود
compelled	مجبور
خرید	خرید کردن
امضاء	امضاء کردن
although	اگرچه
signature	امضاء
girlhood	دختری
battlefield	کارزار
گوش	گوش کردن
greet	سلام کردن
shovel	خاک انداز
shortly	بزودی
shortness	کوتاهی
چروک	چروک شدن
wrinkle	چروک
frequently	بارها
Asiatic	آسیایی
question	سؤال
lamentation	فریاد
flag	بیرق
bent	خم
laboratory	آزمایشگاه
floret	گلچه
hallucination	وهم
اتو	اتو کردن
appreciation	قدردانی
flag	پرچم
another	غیر
idiot	احمق
palisade	نرده
truck	کامیون
private	مخصوص
pear	امروت
Denmark	دانمارک
wrong	غلط بودن
بین	بین نژادهای مختلف
dome	قبه
handsaw	دستره
handsaw	دست اره
turban	دستارسر
saw	اره
firm	قرص
ecstasy	قرص X
Nintendo	نینتندو
chocolate	شوکولات
good	سلامت
Cambodia	کامبوج
country	مملکت
wild	وحشی
miracle	اعجاز
sweetmeat	حلوا
oblation	نذر
آی	آ
foreplay	عشق‌بازی
Egyptian	مصری
long	طولانی
Baluchi	بلوچی
bravo	به‌به
shilajit	مومیا
