at	pie
medus mēnesis	medus mēnesis
vilku mēnesis	vilku mēnesis
salnas mēnesis	salnas mēnesis
zemliku mēnesis	zemliku mēnesis
rudens mēnesis	rudens mēnesis
veļu mēnesis	veļu mēnesis
viršu mēnesis	viršu mēnesis
silu mēnesis	silu mēnesis
rudzu mēnesis	rudzu mēnesis
labības mēnesis	labības mēnesis
siena mēnesis	siena mēnesis
liepu mēnesis	liepu mēnesis
ziedu mēnesis	ziedu mēnesis
papuves mēnesis	papuves mēnesis
lapu mēnesis	lapu mēnesis
sējas mēnesis	sējas mēnesis
ziedoņa mēnesis	ziedoņa mēnesis
sulu mēnesis	sulu mēnesis
sērsnu mēnesis	sērsnu mēnesis
baložu mēnesis	baložu mēnesis
sveču mēnesis	sveču mēnesis
meteņu mēnesis	meteņu mēnesis
puteņu mēnesis	puteņu mēnesis
sala mēnesis	sala mēnesis
ziemas mēnesis	ziemas mēnesis
boar	kuilis
piglet	sivēns
pork	cūkgaļa
pork	cūkas gaļa
melnais caurums	melnais caurums
hole	caurums
composition	sastāvs
boot	zābaka
Dutchman	nīderlandietis
nīderlandiešu valoda	nīderlandiešu valoda
Dane	dānis
dāņu valoda	dāņu valoda
Czech	čehs
čehu valoda	čehu valoda
candle	svece
dark	tūce
male cat	runcis
female cat	kaķene
female cat	kaķe
kitten	kaķēns
female lion	lauvene
lion cub	lauvēns
domestic animal	mājdzīvnieks
house	māja
bērnu nams	bērnu nams
hostess	namamāte
nama māte	nama māte
hostess	mājasmāte
mājas māte	mājas māte
jūras lauva	jūras lauva
baby bear	lācēns
baby dog	kucēns
female rabbit	trusene
baby rabbit	trusēns
female wolf	vilcene
baby wolf	vilcēns
baby squirrel	vāverēns
club	klubs
pointy	miets
female hare	zaķene
baby	zaķēns
horseshoe	pakavs
horseshoe	pakava
male horse	ērzelis
baby	kumeļš
donkey	ēzelis
female donkey	ēzeļmāte
baby	lapsēns
male	tēviņš
orienting	orientēšanās
toy	rotaļlieta
game	rotaļa
game	spēle
shoulder	kamiesis
week	nedeļa
data	aizmirst
drink	iedzert
methane	metāns
doll	lelle
mouse	datorpele
adverb	piemēram
spring	metenis
blizzard	putenis
blizzard	sniegputenis
salty	sāļi
cold	aukstums
cold	auksts
livestock route	olnīca
frozen snow layer	sērsna
pigeon	balodis
vagina	peža
little penis	pipelīte
mazais pirkstiņš	mazais pirkstiņš
virzuļa pirksts	virzuļa pirksts
piston	virzulis
virzuļa gredzens	virzuļa gredzens
ring	gredzens
sex act	dzimumakts
thumb	īkšķis
ring finger	zeltnesis
middle finger	vidējais pirksts
index finger	rādītājpirksts
rādītāja pirksts	rādītāja pirksts
part	rādītājs
road sign	ceļarādītājs
ceļa rādītājs	ceļa rādītājs
rhinoceros	degunradzis
red deer	staltbriedis
page	lappuse
criminal police	kriminālpolicija
kriminālā policija	kriminālā policija
secret police	slepenpolicija
slepenā policija	slepenā policija
policijas stunda	policijas stunda
komandanta stunda	komandanta stunda
army commandant	komandants
hippopotamus	nīlzirgs
chick	cālis
young rooster	gailēns
conifer cone	čiekurs
aircraft	gaisakuģis
modinātāja pulkstenis	modinātāja pulkstenis
waker	modinātājs
alarm clock	modinātājpulkstenis
banner	karogs
awl	īlens
hammer	āmurs
heavy hammer	veseris
atom bomb	atombumba
nuclear bomb	kodolbumba
core	kodols
weapon	ierocis
nuclear weapon	kodolierocis
firearm	šaujamierocis
šaujamais ierocis	šaujamais ierocis
neutron	neitrons
electron microscope	elektronmikroskops
ūdeņraža bumba	ūdeņraža bumba
hydrogen	ūdeņradis
helium	hēlijs
lithium	litijs
beryllium	berilijs
coal	akmeņogle
carbon	ogleklis
nitrogen	slāpeklis
oxygen	skābeklis
sour	skābi
sowing	sēja
bottom	dibens
baby duck	pīlēns
dragon	drakons
cape	zemesrags
cod	menca
bicycle	divritenis
bicycle	velosipēds
sodium	nātrijs
spring	ziedonis
fallow	papuve
plant rotting	puve
thunder	pērkons
magnesium	magnijs
dollar	dolārs
silicon	silīcijs
shark	haizivs
cereal	labība
shadow	ēna
guitar	ģitāra
indigenous peoples	indiānis
Amerindian	indiāniete
tribe	cilts
sulfur	sērs
earwax	auss sērs
heather	virsis
sila virsis	sila virsis
chlorine	hlors
hlora skābe	hlora skābe
chloric acid	hlorskābe
calcium	kalcijs
scandium	skandijs
titanium	titāns
vanadium	vanādijs
chromium	hroms
durian	duriāns
manganese	mangāns
steel	tērauds
cast iron	čuguns
cast iron	ķets
cobalt	kobalts
nickel	niķelis
copper	varš
zinc	cinks
gallium	gallijs
germanium	germānijs
pine forest	sils
sila ziedi	sila ziedi
sila ķirzaka	sila ķirzaka
pļavas ķirzaka	pļavas ķirzaka
meadow	pļava
starling	strazds
song thrush	dziedātājstrazds
singer	dziedātājs
male	dziedonis
professional singer	dziedone
mājas strazds	mājas strazds
melnais strazds	melnais strazds
melnais mežastrazds	melnais mežastrazds
melnais meža strazds	melnais meža strazds
sila strazds	sila strazds
starling	strazdiene
redwing	plukšķis
arsenic	arsēns
selenium	selēns
krypton	kriptons
rubidium	rubīdijs
strontium	stroncijs
yttrium	itrijs
listener	klausītājs
wheelbarrow	ķerra
food offering	zemlikas
zirconium	cirkonijs
niobium	niobijs
molybdenum	molibdēns
technetium	tehnēcijs
ruthenium	rutēnijs
rhodium	rodijs
palladium	pallādijs
silver	sudrabs
cadmium	kadmijs
soul	veļi
Latvian mythological being	veļu māte
linens	veļa
frost	salna
species	mušmire
bālā mušmire	bālā mušmire
sarkanbrūnā mušmire	sarkanbrūnā mušmire
violetbrūnā mušmire	violetbrūnā mušmire
bārkstainā mušmire	bārkstainā mušmire
baltā mušmire	baltā mušmire
zaļā mušmire	zaļā mušmire
nāves cepurīte	nāves cepurīte
headwear	cepurīte
hat	cepure
helmet	bruņucepure
bruņu cepure	bruņu cepure
helmet	ķivere
armor	bruņas
armored train	bruņuvilciens
bruņu vilciens	bruņu vilciens
event	vilciens
pelēkā mušmire	pelēkā mušmire
pērļainā mušmire	pērļainā mušmire
panteru mušmire	panteru mušmire
jaguar	jaguārs
tiger	tīģeris
tiger	tīģeriene
baby tiger	tīģerēns
indium	indijs
spoon	karote
fork	dakšiņa
fork	dakša
ruffe	ķīsis
saules sistēma	saules sistēma
Mercury	Merkurs
Earth	Zeme
Jupiter	Jupiters
Saturn	Saturns
Uranus	Urāns
Neptune	Neptūns
comet	komēta
tellurium	telūrs
beyond	aizsaule
asteroīdu josla	asteroīdu josla
asteroid	asteroīds
strip	josla
introduction	ievads
sunglasses	saulesbrilles
saules brilles	saules brilles
xenon	ksenons
caesium	cēzijs
barium	bārijs
lanthanum	lantāns
cerium	cērijs
praseodymium	prazeodīms
neodymium	neodīms
promethium	prometijs
or	jeb
not	neba
voter	vēlētājs
headgear	galvassega
galvas sega	galvas sega
institution	iestāde
register	reģistrs
list	saraksts
version	versija
samarium	samārijs
europium	eiropijs
gadolinium	gadolīnijs
terbium	terbijs
dysprosium	disprozijs
holmium	holmijs
erbium	erbijs
ytterbium	iterbijs
thulium	tūlijs
lutetium	lutēcijs
hafnium	hafnijs
tantalum	tantals
minute	minūte
rhenium	rēnijs
osmium	osmijs
iridium	irīdijs
platinum	platīns
mercury	dzīvsudrabs
iron objects	dzelži
roku dzelži	roku dzelži
starling	strads
thallium	tallijs
bismuth	bismuts
snowing	sniegam
handbag	rokassoma
pillow	spilvens
-enis	-ens
cottongrass	spilve
pen	rakstāmspalva
pen	pildspalva
spalvu mākonis	spalvu mākonis
foggy	mākons
gubu mākonis	gubu mākonis
cirrus cloud	spalvmākonis
cumulus cloud	gubumākonis
baby rat	žurkulēns
skābekļa spilvens	skābekļa spilvens
metal	metāls
metalloid	pusmetāls
pillow case	spilvendrāna
fabric	drāna
creek	strauts
cover	pārvalks
across	pār
spilvena pārvalks	spilvena pārvalks
sniega vīrs	sniega vīrs
granary	klēts
hook	kāsis
comb	ķemme
zobu suka	zobu suka
pole	ķeksis
hook	āķis
swastika	ugunskrusts
kāšu krusts	kāšu krusts
polonium	polonijs
astatine	astats
beginning	sākums
francium	francijs
good	labais
better	labāks
better	labākais
best	vislabākais
goodness	labums
bad	slikts
amorphous	amorfs
greatly	lieli
full	pilnais
container	pilns
cold	aukstais
colder	aukstāks
colder	aukstākais
coldest	visaukstākais
cold	auksti
radium	rādijs
actinium	aktīnijs
high	augsts
high	augstu
high	augsti
high	augstais
higher	augstāks
higher	augstākais
highest	visaugstākais
sharp	asais
sharper	asākais
sharper	asāks
sharpest	visasākais
thorium	torijs
protactinium	protaktīnijs
sauce	mērce
tintes pildspalva	tintes pildspalva
spherical component	lodīte
lodīšu pildspalva	lodīšu pildspalva
rabbit	kraliņš
rabbit	kaninķenis
rabbit	kaninķins
rabbit	trušis
rabbit	truše
translator	tulkotājs
tea plant	tējas koks
tējas krūms	tējas krūms
ladybug	mārīte
divpunktu mārīte	divpunktu mārīte
dung beetle	mēslvabole
mēslu vabole	mēslu vabole
dung	mēsli
fertilizer	minerālmēsli
mineral	minerāls
mineral water	minerālūdens
mēslu muša	mēslu muša
beetle	vabols
beetle	vabolis
beetle	vabuls
beetle	vabule
beetle	vabulis
beetle	vabals
beetle	vabala
beetle	vabale
beetle	vabele
uranium	urāns
color	pērve
black	melnais
black	melni
blacker	melnākais
blacker	melnāks
blackest	vismelnākais
neptunium	neptūnijs
plutonium	plutonijs
americium	amerīcijs
blackest	vismelnāk
blacker	melnāk
better	labāk
best	vislabāk
coldest	visaukstāk
colder	aukstāk
higher	augstāk
highest	visaugstāk
sharpest	visasāk
sharper	asāk
curium	kirijs
berkelium	berklijs
californium	kalifornijs
einsteinium	einšteinijs
fermium	fermijs
mendelevium	mendeļejevijs
nobelium	nobēlijs
lawrencium	lourensijs
rutherfordium	rezerfordijs
dubnium	dubnijs
bohrium	borijs
hassium	hasijs
meitnerium	meitnērijs
darmstadtium	darmštatijs
roentgenium	rentgenijs
copernicium	kopernikijs
terrible	baigais
terrible	baigākais
terrible	baigāks
terrible	visbaigākais
terrible	baigāk
terrible	visbaigāk
blue	zilais
bluer	zilāks
bluer	zilākais
bluer	zilāk
bluest	viszilākais
bluest	viszilāk
registration	reģistrēšana
blue	zilums
gray	pelēkais
pelēkais strazds	pelēkais strazds
gray	pelēkums
visitor	viesis
guest	ciemiņš
village	ciems
gray	pelēki
living room	viesistaba
viesu istaba	viesu istaba
dzīvojamā istaba	dzīvojamā istaba
room	istaba
kitchen	virtuve
bathroom	vannasistaba
vannas istaba	vannas istaba
study	darbistaba
darba istaba	darba istaba
roe deer	stirna
bedroom	guļamistaba
mirror	spogulis
dress	tualete
baby	stirnēns
mirror	spieģelis
bathroom	ateja
tualetes papīrs	tualetes papīrs
eau de toilette	tualetes ūdens
aurochs	taurs
laboratory assistant	laborants
at one o'clock	vienos
one	vieninieks
type	burtstabiņš
notebook	burtnīca
column	stabiņš
garais ā	garais ā
garais ē	garais ē
garais ī	garais ī
garais ū	garais ū
šaurais e	šaurais e
platais e	platais e
wide	platais
wide	plašs
narrow	šaurais
narrow	šaurs
long	garš
two	divnieks
three	trijnieks
grayer	pelēkāks
grayer	pelēkākais
grayer	pelēkāk
grayest	vispelēkākais
grayest	vispelēkāk
red	sarkans
red	sarkani
red	sarkanais
redder	sarkanāks
redder	sarkanāk
redder	sarkanākais
reddest	vissarkanākais
reddest	vissarkanāk
green	zaļi
green	zaļais
greener	zaļāks
greener	zaļākais
greener	zaļāk
greenest	viszaļākais
greenest	viszaļāk
purple	violeti
purple	violetais
more purple	violetāks
more purple	violetākais
most purple	visvioletākais
most purple	visvioletāk
more purple	violetāk
pencil	zīmulis
white	baltais
whiter	baltāks
whiter	baltākais
whiter	baltāk
whitest	visbaltākais
whitest	visbaltāk
yellow	dzeltens
white bread	baltmaize
rye bread	rupjmaize
balta maize	balta maize
rupja maize	rupja maize
mixture	rupjš
coarse	rupjais
rudzu maize	rudzu maize
yellow	dzeltenais
orange	oranžs
pink	rozā
sock	zeķe
brown	brūns
yellow	dzelteni
yellower	dzeltenāks
yellower	dzeltenākais
yellower	dzeltenāk
yellowest	visdzeltenākais
yellowest	visdzeltenāk
yellow	dzeltēni
yellow	dzeltēnais
yellower	dzeltēnākais
yellower	dzeltēnāks
yellowest	visdzeltēnākais
yellowest	visdzeltēnāk
yellow	dzeltains
yellow	dzeltāni
yellow	dzeltaini
yellow	dzeltainais
yellow	dzeltānais
yellower	dzeltānāks
yellower	dzeltaināks
yellower	dzeltānākais
yellower	dzeltainākais
yellowest	visdzeltānākais
yellowest	visdzeltainākais
yellowest	visdzeltaināk
yellowest	visdzeltānāk
phonology	fonoloģija
brown	brūni
orange	oranži
beautiful	skaisti
narrow	šauri
brown	brūnais
orange	oranžais
orange	jaunais
beautiful	skaistais
browner	brūnāks
more orange	oranžāks
younger	jaunāks
more beautiful	skaistāks
narrower	šaurāks
browner	brūnāk
more orange	oranžāk
more beautiful	skaistāk
narrower	šaurāk
browner	brūnākais
more orange	oranžākais
younger	jaunākais
more beautiful	skaistākais
narrower	šaurākais
narrowest	visšaurākais
most beautiful	visskaistākais
youngest	visjaunākais
most orange	visoranžākais
brownest	visbrūnākais
brownest	visbrūnāk
most orange	visoranžāk
most beautiful	visskaistāk
narrowest	visšaurāk
on	virs
surface	virsma
top	virsus
surface	virsū
four	četrinieks
hand fan	vēceklis
nimble	ņiprs
historian	vēsturniece
historian	vēsturnieks
hotel	hotelis
symptom	simptoms
dangerous	bīstami
nimble	ņipri
sad	bēdīgi
sadness	bēda
dangerous	bīstamais
sweet	saldais
sad	bēdīgais
nimble	ņiprais
more dangerous	bīstamāks
sweeter	saldāks
sadder	bēdīgāks
nimbler	ņiprāks
more dangerous	bīstamāk
sweeter	saldāk
sadder	bēdīgāk
nimbler	ņiprāk
more dangerous	bīstamākais
sweeter	saldākais
sweeter	bēdīgākais
sweeter	ņiprākais
most dangerous	visbīstamākais
sweetest	vissaldākais
saddest	visbēdīgākais
nimblest	visņiprākais
most dangerous	visbīstamāk
sweetest	vissaldāk
saddest	visbēdīgāk
nimblest	visņiprāk
five	piecnieks
third	trešdaļa
fourth	ceturtdaļa
fifth	piektdaļa
six	seši
six	sešnieks
sixth	sestdaļa
part	daļa
seventh	septītdaļa
eighth	astotdaļa
ninth	devītdaļa
tenth	desmitdaļa
seven	septiņnieks
seven	septītnieks
eight	astoņnieks
eight	astotnieks
nine	devītnieks
nine	deviņnieks
ten	desmitnieks
leader	desmitniece
seven	septiņi
interesting	interesants
long	ilgs
most pornographic	vispornogrāfiskākais
influential	ietekmīgs
erotic	erotisks
Latvian	latvisks
amusing	amizanti
wide	plati
wide	plaši
hollow	dobji
hollow	dobi
naked	kaili
naked	pliki
sexual	seksuāli
long	ilgi
pornographic	pornogrāfiski
horrible	šausmīgi
influential	ietekmīgi
erotic	erotiski
Latvian	latviski
quick	ašs
fast	ātrs
fast	straujš
fast	strauļš
happy	priecīgs
happy	laimīgs
azimuth	azimuts
fast	aši
fast	ātri
faster	ātrāk
fast	strauji
happy	laimīgi
happy	priecīgi
fast	strauļi
terrible	šausmīgais
amusing	amizantais
wide	plašais
wide	dobjais
wide	dobais
naked	kailais
naked	plikais
interesting	interesantais
sexual	seksuālais
long	ilgais
pornographic	pornogrāfiskais
influential	ietekmīgais
erotic	erotiskais
Latvian	latviskais
quick	ašais
fast	ātrais
fast	straujais
happy	laimīgais
happy	priecīgais
fast	strauļais
more amusing	amizantāks
wider	platāks
wider	plašāks
more hollow	dobjāks
more hollow	dobāks
more naked	kailāks
more naked	plikāks
more interesting	interesantāks
more sexual	seksuālāks
longer	ilgāks
more pornographic	pornogrāfiskāks
more horrible	šausmīgāks
more influential	ietekmīgāks
more erotic	erotiskāks
more Latvian	latviskāks
quicker	ašāks
faster	ātrāks
faster	straujāks
happier	laimīgāks
happier	priecīgāks
quicker	strauļākais
more amusingly	amizantāk
wider	platāk
wider	plašāk
more hollowly	dobjāk
more hollowly	dobāk
more naked	kailāk
more naked	plikāk
more interesting	interesantāk
more sexual	seksuālāk
longer	ilgāk
more pornographically	pornogrāfiskāk
more horrible	šausmīgāk
more influential	ietekmīgāk
more erotic	erotiskāk
more Latvian	latviskāk
quicker	ašāk
faster	straujāk
more happily	laimīgāk
more happily	priecīgāk
faster	strauļāk
happier	strauļāks
more amusing	amizantākais
wider	platākais
wider	plašākais
more hollow	dobjākais
more hollow	dobākais
more naked	kailākais
more naked	plikākais
more interesting	interesantākais
more sexual	seksuālākais
longer	ilgākais
more pornographic	pornogrāfiskākais
more terrible	šausmīgākais
more influential	ietekmīgākais
more erotic	erotiskākais
more Latvian	latviskākais
quicker	ašākais
faster	ātrākais
faster	straujākais
happier	laimīgākais
happier	priecīgākais
most amusing	visamizantākais
most amusing	visamizantāk
widest	visplatākais
widest	visplašākais
most hollow	visdobjākais
most hollow	visdobākais
most naked	viskailākais
most naked	visplikākais
most interesting	visinteresantākais
most naked	visseksuālākais
longest	visilgākais
most horrible	visšausmīgākais
most influential	visietekmīgākais
most erotic	viserotiskākais
most Latvian	vislatviskākais
quickest	visašākais
fastest	visātrākais
fastest	visstraujākais
happiest	vislaimīgākais
happiest	vispriecīgākais
quickest	visstrauļākais
widest	visplatāk
widest	visplašāk
most hollow	visdobjāk
most hollow	visdobāk
most naked	viskailāk
most naked	visplikāk
most interesting	visinteresantāk
most sexual	visseksuālāk
longest	visilgāk
most pornographic	vispornogrāfiskāk
most terrible	visšausmīgāk
most influential	visietekmīgāk
most erotic	viserotiskāk
most Latvian	vislatviskāk
most quickly	visašāk
fastest	visātrāk
fastest	visstraujāk
happiest	vislaimīgāk
happiest	vispriecīgāk
quickest	visstrauļāk
timid	kaunīgs
timid	kaunīgais
more timid	kaunīgāks
more timid	kaunīgākais
most timid	viskaunīgākais
shy	kaunīgi
shier	kaunīgāk
most shily	viskaunīgāk
timidity	kaunīgums
hole	caurs
through	caur
hole	caurais
one	caurākais
more hole	caurāks
more holes	caurāk
one	viscaurākais
most holes	viscaurāk
height	augstums
historical	vēsturisks
historicity	vēsturiskums
religious	reliģisks
religious	reliģiozs
religiosity	reliģiozitāte
religiosity	reliģiozums
talkative	valodīgs
linguistic	valodisks
linguistic	valodiskais
Lithuanian	lietuvietis
Latvia	Latve
Lithuanian	leitis
Lithuanian	leitiete
Lithuanian	lietuviete
Lithuanian	lietuvisks
religious	reliģiski
religious	reliģiozi
historical	vēsturiski
linguistic	valodiski
talkative	valodīgi
Lithuanian	lietuviski
religious	reliģiskais
historic	vēsturiskais
talkative	valodīgais
Lithuanian	lietuviskais
religious	reliģiozais
more Lithuanian	lietuviskākais
more Lithuanian	lietuviskāks
more talkative	valodīgāks
more talkative	valodīgākais
more historical	vēsturiskāks
more historical	vēsturiskākais
more religious	reliģiozākais
more religious	reliģiozāks
more religious	reliģiskāks
more religious	reliģiskākais
most religious	visreliģiskākais
most religious	visreliģiozākais
most historical	visvēsturiskākais
most talkative	visvalodīgākais
most Lithuanian	vislietuviskākais
more religious	reliģiskāk
more religious	reliģiozāk
more historical	vēsturiskāk
more talkative	valodīgāk
more Lithuanian	lietuviskāk
most religious	visreliģiskāk
most religious	visreliģiozāk
most historical	visvēsturiskāk
most linguistic	visvalodīgāk
most Lithuanian	vislietuviskāk
Latvianness	latviskums
red	sarkanums
yellow	dzeltenums
kas lācītim vēderā	kas lācītim vēderā
acs baltums	acs baltums
white	baltums
brown	brūnums
psyche	psihe
mental	psihisks
psychologic	psiholoģisks
emotional	emocionāls
energetic	enerģisks
individual	draudzīgs
nice	laipns
kindness	laipnība
sticky	lipīgs
psychological	psiholoģiskais
mental	psihiskais
polite	lipni
kind	laipni
sticky	lipīgi
friendly	draudzīgi
energetic	enerģiski
