Հայաստանի	Հայաստանի Հանրապետություն
narrow	նեղ
wide	լայն
fast	արագ
slow	դանդաղ
strong	ուժեղ
weak	թույլ
strange	տարօրինակ
rest	հանգիստ
table	սեղան
chair	աթոռ
armchair	բազկաթոռ
building	շենք
prime minister	վարչապետ
president	նախագահ
nakharar	նախարար
boundary	սահման
yellow	դեղին
violet	մանուշակագույն
color	գույն
bag	պայուսակ
vacuum cleaner	փոշեկուլ
seaport	նավահանգիստ
rope	լար
guard	պահակ
alive	կենդանի
birth	ծնունդ
apostle	առաքյալ
angel	հրեշտակ
Christianity	քրիստոնեություն
cross	խաչ
anointed	օծյալ
Islam	իսլամ
pagan	քուրմ
priest	քահանա
bishop	եպիսկոպոս
catholicos	կաթողիկոս
airplane	ինքնաթիռ
bubble	փուչիկ
face	դեմք
region	մարզ
province	նահանգ
capital	մայրաքաղաք
cone	կոն
police officer	ոստիկան
police	ոստիկանություն
roof	տանիք
zebra	զեբր
giraffe	ընձուղտ
lynx	լուսան
rooster	աքլոր
rooster	աքաղաղ
swallow	ծիծեռնակ
nightingale	սոխակ
magpie	կաչաղակ
Simurgh	սիրամարգ
woodpecker	փայտփորիկ
goose	սագ
duck	բադ
stork	արագիլ
crane	կռունկ
penguin	պինգվին
albatross	ալբատրոս
hawk	բազե
vulture	անգղ
platypus	բադակտուց
rabbit	ճագար
koala	կոալա
checkers	շաշկի
backgammon	նարդի
floor	հատակ
bed	մահճակալ
ceiling	առաստաղ
toilet	զուգարան
sign	նշան
vodka	օղի
you	ձեզ
them	նրանց
this	սա
how	ինչպես
when	երբ
how much	որքան
modest	համեստ
happy	ուրախ
happy	զվարթ
healthy	առողջ
brave	քաջ
clouded	պարզ
complicated	բարդ
lively	աշխույժ
lively	առույգ
dark	մուգ
light	թեթեւ
heavy	ծանր
long	երկար
short	կարճ
straight	ուղիղ
safe	ապահով
close	մոտիկ
far	հեռու
full	լիքը
empty	դատարկ
bold	խիզախ
attentive	ուշադիր
courageous	անվեհեր
determined	հաստատակամ
lick	լպստել
dream	երազել
send	ուղարկել
keep	պահել
receive	ստանալ
think	մտածել
win	հաղթել
answer	պատասխանել
ask	հարցնել
demand	պահանջել
build	կառուցել
fight	կռվել
fight	մարտնչել
establish	հաստատել
want	ուզենալ
wish	ցանկանալ
lie	պառկել
run away	փախչել
free	ազատել
entreat	աղաչել
beg	պաղատել
pray	աղոթել
grow	աճել
greet	բարեւել
define	սահմանել
bring	մոտեցնել
use	օգտագործել
repair	սարքել
prepare	պատրաստել
announce	հաղորդել
accent	շեշտել
inform	տեղեկացնել
request	խնդրել
lead	ղեկավարել
govern	կառավարել
distort	աղավաղել
street	փողոց
avenue	պողոտա
square	հրապարակ
picture gallery	պատկերասրահ
government	կառավարություն
fountain	շատրվան
brook	առու
bank	բանկ
letter	տառ
word	բառ
address	հասցե
encyclopedia	հանրագիտարան
glove	ձեռնոց
epidemic	համաճարակ
trousers	շալվար
sock	գուլպա
dress shirt	վերնաշապիկ
shoe	կոշիկ
dress	շոր
clothes	հագուստ
pink	վարդագույն
heathen	հեթանոս
holy	սուրբ
talent	տաղանդ
button	կոճակ
stump	կոճղ
wheel	անիվ
brick	աղյուս
track	հետք
tail	պոչ
fruit	միրգ
justice	արդարություն
church	եկեղեցի
lamp	լամպ
peninsula	թերակղզի
hope	հույս
sky	երկինք
hell	դժոխք
paradise	դրախտ
physics	ֆիզիկա
drug	դեղ
doctor	բժիշկ
hat	գլխարկ
cruiser	հածանավ
helicopter	ուղղաթիռ
plane	օդանավ
airport	օդանավակայան
railway	երկաթգիծ
Indian	հնդիկ
money	դրամ
culture	մշակույթ
art	արվեստ
flag	դրոշ
USSR	ԽՍՀՄ
Union of Soviet Socialist Republics	Խորհրդային Սոցիալիստական Հանրապետությունների Միություն
chewing gum	ծամոն
weather	եղանակ
cattle	տավար
path	արահետ
bull	ցուլ
monitor	մոնիտոր
womb	արգանդ
mother-in-law	սկեսուր
father-in-law	սկեսրայր
mother-in-law	զոքանչ
father-in-law	աներ
poppy	կակաչ
sound	ձայն
mountain range	լեռնաշղթա
singer	երգիչ
actor	դերասան
artist	նկարիչ
film director	ռեժիսոր
film	ֆիլմ
waiter	մատուցող
cleaner	հավաքարար
waitress	մատուցողուհի
teacher	դասատու
lecturer	դասախոս
dean	դեկան
chancellor	ռեկտոր
student	ուսանող
sin	մեղք
chapel	մատուռ
machine	մեքենա
comedy	կատակերգություն
lamentation	ողբ
help	օգնություն
tragedy	ողբերգություն
candidate	թեկնածու
oxcart	սայլ
link	հղում
memory	հիշողություն
boat	նավակ
tyre	անվադող
king	արքա
soldier	զինվոր
troops	զորք
shield	վահան
carpet	գորգ
army	բանակ
sentence	նախադասություն
philosopher	փիլիսոփա
number	թիվ
pipe	խողովակ
planet	մոլորակ
satellite	արբանյակ
fortress	ամրոց
tower	աշտարակ
castle	դղյակ
duke	դուքս
count	կոմս
nobleman	ազնվական
glasses	ակնոց
work	գործ
schoolchild	աշակերտ
competition	մրցույթ
piano	դաշնամուր
vodka	արաղ
pepper	բիբար
circus	կրկես
curtain	վարագույր
dance	պար
ballet	բալետ
spring	աղբյուր
garbage	աղբ
imagine	պատկերացնել
flow	հոսել
tear	պատռել
լաց	լաց լինել
shout	գոռալ
reprove	հանդիմանել
pull out	հանել
carry	կրել
add up	գումարել
add	ավելացնել
diminish	պակասեցնել
suspend	կասեցնել
stop	կանգնեցնել
relate	պատմել
describe	նկարագրել
inform	հայտնել
announce	հայտարարել
consider	համարել
take	վերցնել
put	դնել
hang	կախել
pull out	պոկել
smile	ժպտալ
disc	սկավառակ
meat	միս
fire	կրակ
tree	ծառ
shit	քաք
saliva	թուք
sex	սեքս
wall	պարիսպ
protector	պաշտպան
fighter	մարտիկ
sword	սուր
ox	եզ
calf	հորթ
wart	գորտնուկ
chrism	մյուռոն
bomb	ռումբ
pass over	հանձնել
commit	հանձնարարել
do	արարել
fill	լցնել
depict	պատկերել
explain	բացատրել
cough	հազալ
wish	մաղթել
sneeze	փռշտալ
lick	լիզել
do	կատարել
enraged	կատաղել
examine	զննել
become	դառնալ
examine	քննել
return	վերադառնալ
rotate	պտտել
know	գիտենալ
know	իմանալ
save	փրկել
carry	տանել
function	գործել
correct	ուղղել
take	առնել
plough	արոր
plough	գութան
hug	գրկում
turtle	կրիա
pirate	ծովահեն
sun	արեգակ
sun	արեգ
property	մալ
ford	հուն
testicle	ամորձի
Hovhannes	Հովհաննես
Peter	Պետրոս
Paul	Պողոս
Jacob	Հակոբ
Jesus	Հիսուս
Isaac	Իսահակ
Parthian	պարթեւ
Scythian	սկյութ
Divine Liturgy	պատարագ
dwarf	թզուկ
martyr	մարտիրոս
person	անձ
cut	կտրել
Judaism	հուդայականություն
spark	կայծ
thunder	որոտ
fire	հրդեհ
storm	փոթորիկ
blacksmith	դարբին
creature	արարած
eggplant	սմբուկ
aubergine	բադրիջան
scissors	մկրատ
baptism	մկրտություն
baptism	կնունք
resurrection	հարություն
swan	կարապ
partridge	կաքավ
stirrup	ասպանդակ
sphere	ասպարեզ
defile	կիրճ
meadow	մարգ
horseshoe	պայտ
paintbrush	վրձին
paint	ներկ
rudder	ղեկ
mast	կայմ
stern	նավախել
board	տախտակ
deck	տախտակամած
ribbon	ժապավեն
resin	խեժ
iron	արդուկ
smooth	հարթ
bumpy	խորդուբորդ
luminous	լուսավոր
mighty	հզոր
strong	զորավոր
evil	չար
kind	բարի
nervous	ջղային
small	պուճուր
persistent	համառ
sad	տխուր
flat	տափակ
zealous	եռանդուն
superstitious	սնահավատ
independent	անկախ
smart	խելացի
humble	պարկեշտ
frightening	ահեղ
shy	ամաչկոտ
bright	պայծառ
durable	պինդ
durable	ամուր
East Timor	Արեւելյան Թիմոր
England	Անգլիա
Greenland	Գրենլանդիա
կղզիներ	Ֆարերյան կղզիներ
Kosovo	Կոսովո
Burma	Բիրմա
Montenegro	Չեռնոգորիա
Philippines	Ֆիլիպիններ
Պապուա	Պապուա Նոր Գվինեա
Northern Ireland	Հյուսիսային Իռլանդիա
Արաբիա	Սաուդյան Արաբիա
San Marino	Սան Մարինո
Puerto Rico	Պուերտո Ռիկո
Slovenia	Սլովենիա
RSA	ՀԱՀ
Thailand	Թաիլանդ
Trinidad and Tobago	Տրինիդադ եւ Տոբագո
Taiwan	Թայվան
Tibet	Տիբեթ
United Arab Emirates	Արաբական Միացյալ Էմիրություններ
Uzbekistan	Ուզբեկստան
Vietnam	Վիետնամ
Yemen	Եմեն
Wales	Ուելս
Western Sahara	Արեւմտյան Սահարա
Britain	Բրիտանիա
Բրիտանիա	Մեծ Բրիտանիա
Scotland	Շոտլանդիա
Kuwait	Քուվեյթ
Czech Republic	Չեխիա
Congo	Կոնգո
Cambodia	Կամբոջա
Brunei	Բրունեյ
Brittany	Բրետան
violate	բռնաբարել
chief	պետ
locksmith	փականագործ
pepper	պղպեղ
dinner	ճաշ
supper	ընթրիք
lunch	լանչ
Antarctica	Անտարկտիկա
Ամերիկա	Հարավային Ամերիկա
Ամերիկա	Հյուսիսային Ամերիկա
entrails	ընդերք
oud	վին
defeat	պարտություն
smoke	ծխել
wheel	չարխ
male	որձ
grandmother	հան
seed	սերմ
toad	դոդոշ
only	միակ
cinnamon	դարչին
barley	գարի
sausage	երշիկ
frankfurter	նրբերշիկ
bread	հաց
pie	կարկանդակ
louse	ոջիլ
flea	լու
scorpion	կարիճ
bug	բլոճ
beetle	բզեզ
wasp	կրետ
tettigonioid	ծղրիդ
acridoid	մորեխ
butterfly	թիթեռ
ant	մրջյուն
moth	ցեց
bumblebee	իշամեղու
worm	ճիճու
dragon	դրակոն
gold	ոսկի
cave	քարանձավ
axe	կացին
spear	նիզակ
helmet	սաղավարտ
center	կենտրոն
ropedancer	փահլեւան
palm tree	արմավենի
poplar	բարդի
willow	ուռենի
Platanus	չինար
pine	սոճի
Platanus	սոսի
maple	թխկի
birch	կեչի
cypress	նոճի
cherry tree	բալենի
apricot	ծիրանենի
hawthorn	սզնի
walnut	ընկուզենի
elm	թեղի
mulberry	թթենի
lime	լորենի
pear tree	տանձենի
peach	դեղձենի
Populus tremula	կաղամախի
threshold	դրանդի
cornfield	հանդ
surname	ազգանուն
phonetics	հնչյունաբանություն
adjective	ածական
date	թվական
adverb	մակբայ
preposition	նախդիր
pronoun	դերանուն
օժանդակ	օժանդակ բայ
joint	հոդ
bond	շաղկապ
interjection	ձայնարկություն
palate	քիմք
declension	հոլովում
admiration	խոնարհում
inclination	թեքում
grammar	քերականություն
syntax	շարահյուսություն
morphology	ձեւաբանություն
part of speech	խոսքի մաս
Eastern Armenian	բ
Eastern Armenian	գ
Eastern Armenian	դ
Eastern Armenian	ծ
Eastern Armenian	կ
Eastern Armenian	ձ
Old Armenian	ղ
Eastern Armenian	ճ
Eastern Armenian	յ
Eastern Armenian	պ
Eastern Armenian	ջ
Eastern Armenian	ռ
Eastern Armenian	տ
Eastern Armenian	ր
այբ	ք
Old Armenian	ֆ
hull	պատյան
Eastern Armenian	ւ
shop	խանութ
lark	արտույտ
protect	պաշտպանել
pheasant	փասիան
marmot	արջամուկ
beach	լողափ
parsley	մաղադանոս
butcher	մսագործ
butcher	ղասաբ
timber	ատաղձ
carpenter	հյուսն
tailor	դերձակ
class	դաս
teacher	ուսուցիչ
firefighter	հրշեջ
abstract	-ություն
agent noun	-իչ
picture	նկար
peaceful	խաղաղ
nanny	դայակ
cure	բուժել
role	դեր
weaver	ջուլհակ
fisher	ձկնորս
accountant	հաշվապահ
tarek	տառեխ
sturgeon	թառափ
herring	ծովատառեխ
pike	գայլաձուկ
dolphin	դելֆին
salmon	սաղմոն
carp	ծածան
catfish	լոքո
prince	իշխան
mackerel	սկումբրիա
brown trout	կարմրախայտ
whitefish	սիգ
cod	ձողաձուկ
pole	ձող
spearhead	տեգ
bring	բերել
-ery	-անոց
protein	սպիտակուց
tadpole	շերեփուկ
Indian	հնդկական
rat	առնետ
nostril	ռունգ
horn	եղջյուր
horn	պոզ
creep	սողալ
lid	կափարիչ
concept	հայեցակարգ
imaginary	տեսլական
procedure	ընթացակարգ
timetable	ժամանակացույց
obstacle	արգելք
lightning rod	շանթարգել
lightning	շանթ
reserve	արգելոց
thunderstorm	ամպրոպ
ice-cold	սառնամանիք
snowstorm	բուք
snowstorm	բորան
heat	տապ
fog	մառախուղ
fog	մեգ
fog	մշուշ
storm	հողմ
heat	ջերմություն
warmth	տաքություն
warm	ջերմ
warm	տաք
օվկիանոս	Խաղաղ օվկիանոս
օվկիանոս	Ատլանտյան օվկիանոս
սառուցյալ	Հյուսիսային սառուցյալ օվկիանոս
օվկիանոս	Հնդկական օվկիանոս
dangerous	վտանգավոր
salamander	սալամանդր
potter's wheel	դուրգ
Eurasia	Եվրասիա
congratulation	շնորհավորություն
gratefulness	շնորհակալություն
station	կայարան
slice	պատառ
pick	քաղել
road	ճամփա
cotton	բամբակ
food	սնունդ
rice	բրինձ
sphere	գնդոլորտ
request	խնդիր
thing	բան
locative case	ներգոյական հոլով
instrumental case	գործիական հոլով
Հայաստանից	-ից
ablative case	բացառական հոլով
genitive case	սեռական հոլով
մարդուց	-ուց
nominative case	ուղղական հոլով
dative case	տրական հոլով
accusative case	հայցական հոլով
Հայաստանով	-ով
գիրքը	-ը
barbarian	բարբարոս
