he	on
neglect	zanedbat
overload	přetížení
helicopter	vrtulník
trigger	spoušť
rhombus	kosočtverec
vessel	céva
vein	žíla
artery	tepna
abbess	abatyše
dentin	zubovina
enamel	sklovina
pulp	dřeň
nerve	nerv
whirlpool	vír
patch	náplast
nicotine	nikotin
tobacco	tabák
dopamine	dopamin
fever	horečka
suppress	potlačit
lime	lípa
aspen	osika
hornbeam	habr
alder	olše
fir	jedle
spleen	slezina
rectum	konečník
resurrection	vzkříšení
breed	plemeno
breed	odrůda
mistletoe	jmelí
survival	přežití
miracle	zázrak
hunter	lovec
drought	sucho
offspring	potomstvo
partridge	koroptev
hare	zajíc
grouse	tetřev
bee	včela
swallow	vlaštovka
cockroach	šváb
animal	živočich
coltsfoot	podběl
nature	příroda
shark	žralok
carp	kapr
mackerel	makrela
tuna	tuňák
trout	pstruh
sardine	sardinka
power	mocnina
woodpecker	datel
bear	medvěd
Vulpes vulpes	liška
coyote	kojot
cattle	tur domácí
cow	kráva
býku	býk
ox	vůl
mustard	hořčice
trace	stopa
carbohydrate	sacharid
krtku	krtek
frequency	frekvence
chimpanzee	šimpanz
baboon	pavián
carnivore	masožravec
herbivore	býložravec
omnivore	všežravec
cancer	rakovina
knight	rytíř
rose	růže
flower	květina
sunflower	slunečnice
lady	dáma
thistle	bodlák
horse	kůň
clover	jetel
insectivore	hmyzožravec
insect	hmyz
centipede	stonožka
gingerbread	perník
beak	zobák
cock	kohout
poultry	drůbež
confinement	zajetí
turkey	krocan
runny nose	rýma
cross	kříž
century	století
lawn	trávník
family	čeleď
kingdom	království
realm	říše
trunk	kmen
shell	krunýř
syllable	slabika
duck	kachna
wing	křídlo
ostrich	pštros
Rodentia	hlodavec
distance	dálka
nutrition	výživa
mercury	rtuť
bark	kůra
squirrel	veverka
parachute	padák
beverage	nápoj
wedding	svatba
psychiatry	psychiatrie
meteorology	meteorologie
anteater	mravenečník
beaver	bobr
cheetah	gepard
camel	velbloud
bat	netopýr
rabbit	králík
jackal	šakal
sheep	ovce
whale	velryba
rat	krysa
tiger	tygr
mouflon	muflon
raccoon	mýval
walrus	mrož
cuckoo	kukačka
ray	paprsek
guitar	kytara
string	struna
earless seal	tuleň
pinniped	ploutvonožec
turtle	želva
fur seal	lachtan
nettle	kopřiva
calyx	kalich
petal	okvětní lístek
viper	zmije
rattlesnake	chřestýš
retina	sítnice
cornea	rohovka
iris	duhovka
drone	trubec
pollen	pyl
fertilization	oplodnění
fin	ploutev
magician	kouzelník
line	přímka
letter	písmeno
furniture	nábytek
spell	kouzlo
žačka	žák
pupil	zornice
paleontology	paleontologie
subspecies	poddruh
biology	biologie
zoology	zoologie
botany	botanika
variety	varieta
subvariety	pododrůda
perfection	dokonalost
imperfection	nedokonalost
siege	obležení
besiege	obléhat
fertile	plodný
brush	štětka
pedigree	rodokmen
genealogy	genealogie
beetle	brouk
tool	nástroj
machine	stroj
antler	paroh
nightingale	slavík
plate	talíř
cutlery	příbor
tablecloth	ubrus
ship	loď
vessel	nádoba
dagger	dýka
lock	zámek
sentence	věta
comma	čárka
sky	nebe
computer	počítač
port	přístav
zodiac	zvěrokruh
comb	hřeben
verse	verš
vacation	prázdniny
work	práce
coast	pobřeží
bank	břeh
ocean	oceán
pond	rybník
weather	počasí
flood	povodeň
slunečnicový olej	olej
diesel	nafta
bay	záliv
peninsula	poloostrov
cormorant	kormorán
gull	racek
valley	údolí
surface	povrch
archipelago	souostroví
Mediterranean Sea	Středozemní moře
strait	průliv
depth	hloubka
navy	námořnictvo
cephalopod	hlavonožec
porpoise	sviňucha
cruising	holanda
brush	štětec
canvas	plátno
hemp	konopí
krevní tlak	tlak
temperature	teplota
volume	objem
storm	bouře
density	hustota
queue	fronta
precipitation	srážky
compound	sloučenina
glucose	glukóza
fatty acid	mastná kyselina
adipose tissue	tuková tkáň
fat cell	tuková buňka
ladit	debugger
stroke	mrtvice
stroke	mozková mrtvice
back	zadek
aorta	srdečnice
coronary artery	věnčitá tepna
trachea	průdušnice
bronchus	průduška
cavity	dutina
hole	díra
belly	břicho
chest	hrudník
thoracic	hrudní
pig	vepř
lard	sádlo
soap	mýdlo
rapeseed	řepka
flare	světlice
pumpkin	dýně
vlašský ořech	vlašský ořech
sage	šalvěj
nut	ořech
hazelnut	lískový ořech
hazel	líska
peanut	arašíd
burský oříšek	burský oříšek
pistachio	pistácie
cashew	kešu
chestnut tree	kaštan
fission	štěpení
peahen	pávice
glanders	vozhřivka
lemon	citrón
ruminant	přežvýkavec
pheasant	bažant
furrow	brázda
song	píseň
fur	kožešina
nobility	šlechta
polyandry	mnohomužství
says	vece
cradle	kolébka
Eskimo	Eskymák
knot	uzel
Estonia	Estonsko
bark	štěkat
paw	packa
savage	divoch
bring up	vychovat
Great Divide	Velké rozvodí
sledge	sáně
howl	výt
scale	měřítko
key	tónina
key	klíč
Esox	štika
trunk	chobot
gate	závora
brewery	pivovar
witness	svědek
testimony	svědectví
wisdom	moudrost
spirit	duch
soul	duše
action	čin
activity	činnost
funeral	pohřeb
knell	umíráček
beagle	bígl
instinct	instinkt
starling	špaček
jackdaw	kavka
flock	hejno
flock	stádo
idealist	idealista
proboscis	sosák
aphid	mšice
blister	puchýř
barefoot	bosky
compote	kompot
tin can	plechovka
aluminium	hliník
report	udat
-ní	-í
shortcut	zkratka
slavery	otroctví
slave	otrok
weasel	lasice
sterility	neplodnost
part	část
strive	usilovat
maintain	udržovat
maintenance	údržba
unhappiness	neštěstí
pack	smečka
lamb	jehně
group	skupina
group	grupa
troop	oddíl
stallion	hřebec
compassion	soustrast
sympathy	soucit
parrot	papoušek
parrot	papouškovat
tame	krotký
brown	hnědý
bloody	krvavý
shy	plachý
buffalo	buvol
vertebrate	obratlovec
embryo	zárodek
hair	chlup
hair	srst
hair	ochlupení
intelligible	srozumitelný
unintelligible	nesrozumitelný
superfluous	zbytečný
fragile	křehký
weakness	slabost
fragility	křehkost
dreamer	snílek
rasp	rašple
mandible	kusadlo
rival	soupeř
rivalry	soupeření
rivalry	rivalita
compass	kompas
compass	kružítko
shin	holeň
wrinkle	vráska
iron	žehlička
vowel	samohláska
consonant	souhláska
wild boar	kanec
laziness	lenost
sloth	lenochod
ladder	žebřík
quail	křepelka
cockscomb	hřebínek
afterwards	poté
child	dítě
infant	kojenec
hamster	křeček
legume	luštěnina
bean	fazole
lentil	čočka
whisker	fous
mane	hříva
goatee	bradka
mustache	knír
wash	prát
gibbon	gibon
sink	dřez
bowl	mísa
bowl	miska
pool	bazén
premolar	třenák
premolar	třenový zub
molar	stolička
canine	špičák
fairy tale	pohádka
decorate	zdobit
beautify	krášlit
beauty	krása
beauty	kráska
beauty	krasavice
engagement	zasnoubení
prehistory	pravěk
Stone Age	doba kamenná
prehistoric	pravěký
MRI	MR
pajamas	pyžamo
sect	sekta
sweatshirt	mikina
T-shirt	tričko
T-shirt	triko
shirt	košile
hood	kapuce
inflammation	zánět
tractor	traktor
hypochondrium	podžebří
flag	vlajka
gym	tělocvična
rod	prut
lever	páka
make	značka
majority	většina
value	hodnota
cinnamon	skořice
mint	máta
bride	nevěsta
bridegroom	ženich
poisoning	otrava
terminology	názvosloví
clogged	ucpaný
pole	oj
famine	hladomor
zucchini	cuketa
heart	srdce
carrot	mrkev
parsley	petržel
thyme	tymián
rosemary	rozmarýna
symptom	příznak
cause	příčina
event	událost
cold	nachlazení
anatomy	anatomie
megalomania	velikášství
chills	zimnice
service	služba
engineer	inženýr
captain	kapitán
admiral	admirál
fuel	palivo
kettle	konvice
self-control	sebeovládání
willpower	síla vůle
womb	děloha
pubic bone	stydká kost
anxiety	úzkost
fear	strach
disorder	porucha
phlegm	hlen
mucus	sliz
everything	všechno
birthday	narozeniny
enter	vstoupit
floor	podlaha
felicitation	blahopřání
detail	podrobnost
Milky Way	Mléčná dráha
urinary tract	močové ústrojí
pus	hnis
phosphoric acid	kyselina fosforečná
chyluria	chylurie
tagliatelle	široké nudle
Limax	slimák
sedentary	sedavý
gall	hálka
pope	papež
clarinet	klarinet
slate	břidlice
clay	jíl
trombone	trombón
fertile	úrodný
soup	polévka
French	francouzský
glasses	brýle
cortisone	kortizon
adenosine	adenozin
seizure	záchvat
groin	rozkrok
torso	torzo
orange	pomeranč
fusilli	vřetena
plaque	plak
catechine	katechin
theobromine	teobromin
theophylline	teofylin
theanine	teanin
amino acid	aminokyselina
autumn	podzim
summer	léto
tannin	tanin
qigong	čchi-kung
orphan	sirotek
orphanage	sirotčinec
temptation	pokušení
king	král
queen	královna
magnesium	hořčík
calcium	vápník
sodium	sodík
star	hvězda
obsession	posedlost
wild	divoký
cookbook	kuchařka
baking	pečení
frying	smažení
diabetes	cukrovka
choking	dušení
vertigo	závrať
typhus	tyfus
břišní tyfus	břišní tyfus
rash	vyrážka
archive	archiv
wisdom tooth	zub moudrosti
husí kůže	husí kůže
goose	husa
stupid woman	slepice
atavism	atavismus
organism	organizmus
little finger	malíček
forefinger	ukazováček
forefinger	ukazovák
ring finger	prsteník
ring finger	prsteníček
middle finger	prostředník
middle finger	prostředníček
little finger	malík
nail	nehet
prove	dokázat
shallot	šalotka
clove	hřebíček
caraway	kmín
fennel	fenykl
pepper	pepř
bay leaf	bobkový list
saffron	šafrán
vanilla	vanilka
allspice	nové koření
risotto	rizoto
dish	pokrm
clove	stroužek
breakfast	snídat
frigate	fregata
priest	kněz
church	církev
monastery	klášter
clergy	duchovenstvo
abbot	opat
abbey	opatství
predestine	předurčit
bishop	biskup
shooter	střelec
archbishop	arcibiskup
heresy	kacířství
scarlet fever	spála
measles	spalničky
paleness	bledost
usury	lichva
sock	ponožka
myopia	krátkozrakost
hyperopia	dalekozrakost
almond	mandloň
binoculars	dalekohled
sanguine person	sangvinik
turmeric	kurkuma
broth	vývar
oven	trouba
defense	obrana
people	národ
temple	chrám
acorn	žalud
bradycardia	bradykardie
beechnut	bukvice
technology	technologie
compete	soutěžit
competition	soutěž
schedule	rozvrh
midbrain	střední mozek
diencephalon	mezimozek
regret	lítost
jealousy	žárlivost
punishment	trest
punish	trestat
crime	zločin
truthfulness	pravdomluvnost
phantom limb	fantomová končetina
sunset	západ
muesli	müsli
trace element	stopový prvek
his	jeho
their	jejich
legitimacy	legitimnost
dig	kopat
draw	tahat
breathe	dýchat
sing	zpívat
negate	negovat
feed	krmit
hang	viset
leave	opustit
sell	prodat
panacea	všelék
hard drive	hard disk
pork	vepřové
beef	hovězí
cinnamon	skořicovník
chive	pažitka
cucumber	okurka
rowing	veslování
oar	veslo
lantern	lucerna
bathroom	koupelna
reason	důvod
empiricism	empirismus
rationalism	racionalismus
measurement	měření
find out	zjistit
estimate	odhad
estimate	odhadnout
measure	měřit
otter	vydra
chop	sekat
bite	kousat
card	karta
pleasure	potěšení
useful	užitečný
usefulness	užitečnost
use	použít
consumer	spotřebitel
consume	spotřebovat
function	funkce
existentialism	existencialismus
nihilism	nihilizmus
carpenter	tesař
carpenter	truhlář
frame	rám
journeyman	tovaryš
bromine	brom
almighty	všemohoucí
right hand	pravice
justice	spravedlnost
vegetarianism	vegetariánství
theater	divadlo
hyponym	hyponymum
hypernym	hyperonymum
selenium	selen
traffic light	semafor
dignity	důstojnost
supernatural	nadpřirozený
unicorn	jednorožec
hyperbole	nadsázka
medicine	lék
history	dějiny
cloud	mrak
convention	sjezd
assembly	shromáždění
battle	bitva
soldier	voják
strife	svár
campaign	tažení
campaign	kampaň
fight	souboj
hope	naděje
translation	překlad
domination	nadvláda
lackey	lokaj
rebellion	vzpoura
rebellion	povstání
insurgent	povstalec
cabin	kabina
candidacy	kandidatura
caricature	karikatura
coffee	kafe
theory	teorie
magnanimous	velkodušný
academy	akademie
manual	příručka
automaton	automat
article	článek
whole	celek
component	součástka
root	kořen
Norway	Norsko
memorandum	zápis
konduktorovi	konduktor
conscience	svědomí
sling	prak
smoke	kouř
aversion	odpor
toilet	záchod
south	jih
Bavaria	Bavorsko
hussar	husar
childhood	dětství
constructor	konstruktor
contact	kontakt
rain	déšť
passion	vášeň
passion	pašije
Jesus	Ježíš
bracket	závorka
square bracket	hranatá závorka
curly bracket	složená závorka
faith	víra
fluid	kapalina
fluid	tekutina
evaporate	vypařit
gas	plyn
Christianity	křesťanství
long-term	dlouhodobý
short-term	krátkodobý
friend	přítel
friendship	přátelství
corpus	korpus
thinker	myslitel
slippery	kluzký
unreliable	nespolehlivý
reliable	spolehlivý
reliability	spolehlivost
slope	sklon
borane	boran
cosine	kosinus
pornography	pornografie
tangent	tečna
tangent	tangens
cotangent	kotangens
secant	sečna
secant	sekans
angle	úhel
image	představa
fall in love	zamilovat
love	zamilovanost
scenery	kulisa
rejection	odmítnutí
cretin	kretén
demagogy	demagogie
aesthetics	estetika
aesthetician	estetik
ethics	etika
procedure	procedura
course	chod
eager	dychtivý
ladybug	slunéčko
slim	štíhlý
laboratory technician	laborant
curtain	závěs
curtain	opona
altar	oltář
director	ředitel
director	režisér
semicolon	středník
colon	dvojtečka
exclamation mark	vykřičník
question mark	otazník
underscore	podtržítko
tilde	vlnka
nonexistent	neexistující
no one	nikdo
mannitol	manitol
giant	obr
cloak	plášť
scroll	svitek
cylinder	válec
sphere	koule
intermittent	přerušovaný
alternating current	střídavý proud
wife	manželka
husband	manžel
home	domov
patience	trpělivost
sobriety	střízlivost
defendant	obžalovaný
defendant	obviněný
lawyer	právník
judge	soudce
academic degree	magistr
benefactor	dobrodinec
oath	přísaha
statue	socha
greeting	pozdrav
meridian	poledník
zenith	nadhlavník
purgatory	očistec
sin	hřích
sinner	hříšník
censorship	cenzura
eight	osm
kangaroo	klokan
priestess	kněžka
selka	sedlák
agriculture	zemědělství
process	proces
nine	devět
pronunciation	výslovnost
claw	dráp
civilization	civilizace
environment	prostředí
Cinderella	Popelka
dirty	špinavý
Wiktionary	Wikislovník
spectrum	spektrum
deity	božstvo
deity	božství
myth	mýtus
worship	uctívání
Plato	Platón
mead	medovina
craftsman	řemeslník
toil	dřina
observe	pozorovat
observer	pozorovatel
aperture	clona
oyster	ústřice
volcano	sopka
sapphire	safír
astrology	astrologie
pharmacy	farmacie
curiosity	zvědavost
curiosity	kuriozita
randomness	náhodnost
random	náhodný
chance	náhoda
cube	krychle
Bohemia	Čechy
innate	vrozený
Norwegian	norština
plain	rovina
minimalist	minimalista
meter	metr
vitreous humor	sklivec
microbe	mikrob
microphone	mikrofon
molecule	molekula
monologue	monolog
will	vůle
specialist	specialista
pantomime	mim
quotation mark	uvozovka
duty	povinnost
gravel	štěrk
lute	loutna
ideal	ideál
ideal	ideální
bell	zvon
vacuum cleaner	vysavač
genotype	genotyp
allele	alela
chromosome	chromozom
means	prostředek
factor	faktor
filter	filtr
utopia	utopie
photograph	fotografie
coniferous	jehličnatý
convict	odsoudit
surgery	chirurgie
megalomania	megalomanie
geography	geografie
tragedy	tragedie
ischemia	ischemie
tetraplegia	tetraplegie
border	hranice
margin	marže
yield	úroda
proverb	přísloví
proverbial	příslovečný
salable	prodejný
sale	prodej
criminal law	trestní právo
civil law	občanské právo
foreign currency	valuta
phonetics	fonetika
bulimia	bulimie
pistol	pistole
version	verze
polite	zdvořilý
ideology	ideologie
geology	geologie
autonomy	autonomie
archaeology	archeologie
prison	vězení
prisoner	vězeň
philosophy	filosofie
there's no accounting for taste	proti gustu žádný dišputát
morphology	morfologie
enology	enologie
periphery	periferie
therapy	terapie
demography	demografie
biography	biografie
ergonomics	ergonomie
entropy	entropie
pathology	patologie
entomology	entomologie
luggage	zavazadla
invoice	faktura
invoice	fakturovat
trade	obchod
Enlightenment	osvícenství
phantom	přízrak
theology	teologie
irony	ironie
empathy	empatie
urology	urologie
dermatology	dermatologie
pediatrics	pediatrie
orthopedics	ortopedie
neurology	neurologie
geriatrics	geriatrie
logický klam	logický klam
fallacy	klam
Providence	Prozřetelnost
financier	finančník
Rhineland	Porýní
movement	hnutí
speed	rychlost
autocrat	samovládce
Switzerland	Švýcarsko
negotiation	vyjednávání
negotiate	vyjednávat
negotiate	vyjednat
frontier	pohraničí
prosthesis	protéza
hat	klobouk
cap	čepice
visor	kšilt
beret	baret
bowler hat	buřinka
arrow	šipka
statistics	statistika
condom	prezervativ
nephrology	nefrologie
slowness	pomalost
fridge	lednička
refrigerator	lednice
beggar	žebrák
enemy	nepřítel
parcel	balík
envelope	obálka
message	zpráva
messenger	kurýr
Mafia	mafie
standard deviation	směrodatná odchylka
variance	rozptyl
deviation	odchylka
space	vesmír
world	svět
sucrose	sacharóza
sugar cane	cukrová třtina
sugar beet	cukrová řepa
beet	řepa
parasite	parazit
cactus	kaktus
sober	střízlivý
drunkenness	opilost
fructose	fruktóza
artificial	umělý
colleague	kolega
upsilon	ypsilon
menestrelovi	menestrel
diskový oddíl	diskový oddíl
disabled	invalida
legislature	legislativa
stability	stabilita
erection	ztopoření
final	konečný
infinite	nekonečný
progression	posloupnost
seed	semeno
industry	průmysl
economy	hospodářství
economy	ekonomie
ecology	ekologie
věčný dluhopis	dluhopis
food processor	mixér
mitre	mitra
fallible	omylný
infallible	neomylný
aircraft	letadlo
helicopter	helikoptéra
algorithm	algoritmus
number	číslo
element	prvek
mixture	směs
democracy	demokracie
blind	slepý
blind spot	slepá skvrna
analog	analogový
real	reálný
real	skutečný
epidemic	epidemie
epidemiology	epidemiologie
literal	doslovný
eucalyptus	eukalyptus
jasper	jaspis
parsec	parsek
lory	lori
snuggle	tulit
executioner	katan
computer	komp
horse	koníček
loaf	bochník
loaf	pecen
determine	určit
calculate	spočítat
failure	selhání
fate	osud
fatal	osudový
fatal	osudný
necessary	nutný
regret	litovat
promise	slib
curse	kletba
curse	prokletí
sibling	sourozenec
orgy	orgie
rocket	raketa
hard disk	pevný disk
floppy disk	disketa
satellite	družice
satellite	satelit
orbit	oběžná dráha
course	průběh
brick	cihla
deadly	smrtící
mortal	smrtelný
immortal	nesmrtelný
mortality	smrtelnost
immortality	nesmrtelnost
file	soubor
file	pilník
chess	šachy
pawn	pěšec
rider	jezdec
noun	podstatné jméno
chirurgyně	chirurg
bribe	úplatek
bribery	úplatkářství
graft	roub
grafting	roubování
vice	zlozvyk
smoking	kouření
smoking	kouřící
middle	střed
character	postava
chainsaw	řetězová pila
cyborg	kyborg
cybernetics	kybernetika
grammar	mluvnice
grammar	gramatika
unpopular	neoblíbený
unpopular	nepopulární
feasible	proveditelný
possible	možný
impossible	nemožný
feasibility	proveditelnost
protection	ochrana
producer	výrobce
past	minulost
present	dárek
Ondřejovi	Ondřej
tension	napětí
lightning rod	hromosvod
lightning rod	bleskosvod
protect	chránit
technology	technika
intelligence	inteligence
subordinate	podřízený
chapter	kapitola
posthumous	posmrtný
posthumously	posmrtně
bodily	tělesný
sensitive	citlivý
slenderness	štíhlost
slenderness	útlost
doomsday	soudný den
member	člen
fall	padat
hyphen	spojovník
dash	pomlčka
em-dash	dlouhá pomlčka
