horse	march
Northern Territory	Tiriogaeth y Gogledd
Australian Capital Territory	Tiriogaeth Prifddinas Awstralia
transverse	trawslin
strong	traws
transplant	trawsblannu
transplant	trawsblaniad
sloping	lletraws
whole	hollol
horizontal	llorwedd
bias	gogwydd
tend	gogwyddo
tend	tueddu
unbending	diwyro
wax	cwyro
tendency	tueddiad
inclination	gogwyddiad
posture	osgo
meridian	nawnlin
oath	llw
slope	goleddf
slanting	lleddf
melancholy	lleddfder
slant	goleddfu
soothe	lleddfu
smooth	esmwyth
ease	esmwytháu
ease	esmwythder
ease	esmwythyd
easement	esmwythâd
circular letter	cylchlythyr
prifddinas	Prifddinas
territory	tiriogaeth
tiriogaeth	Tiriogaeth
reminder	atgoffâd
pet	mwytho
gentle	tyner
brand new	newydd sbon
right	certh
spike	cethr
swineherd	meichiad
nominate	enwebu
condyle	pencnaw
bulletin	bwletin
brush	brwsio
reincarnation	ailymgnawdoliad
presidency	llywyddiaeth
male	gwryw
hemp	cywarch
rosemary	rhosmari
sleeve	llawes
takeaway	cludfwyd
full-time	llawn-amser
rock and roll	roc a rôl
traffic warden	warden traffig
seasick	sâl môr
shut up	cau'r ffyc y fyny
ffyc i fyny	ffyc i fyny
cau i fyny	cau i fyny
be quiet	byddwch yn dawel
apartment	fflat
vegetable	llysieuol
vegetarian	llysieuwr
English	Seisnig
French horn	corn Ffrengig
English horn	corn Seisnig
instrument	offeryn
musical instrument	offeryn cerdd
tuba	tiwba
trombone	trombôn
fiddle	ffidil
flat	gwastad
consistently	wastad
sixty	chwe deg
fifty	pum deg
anthems	hanthemau
anthem	hanthem
tow	towio
dark	cethin
sometime	rhywbryd
emanate	deillio
you know	'chi
you know	chimod
Spaniard	Sbaenwr
Spanish	Sbaenes
in a hurry	ar frys
spend	treulio
overseas	dramor
witch	gwrach
stag	hydd
fig tree	ffigysbren
ruler	pren mesur
higher education	addysg uwch
higher rank	uwchradd
comprehensive school	ysgol gyfun
further education	addysg bellach
homework	gwaith cartref
primary education	addysg gynradd
technician	technegydd
petition	deiseb
glasses	gwydrau
knowledgeable	gwybodus
all-knowing	hollwybodus
pieces	yfflon
bit	yfflyn
column	colofn
graduate	graddio
nursery school	ysgol feithrin
note	nodyn
deserve	haeddu
Bigfoot	Troedfawr
two year	dwyflwydd
dawdle	hoetian
free-range hen	iâr faes
airfield	maes glanio
free-range egg	wy maes
car park	maes parcio
jellyfish	cont y môr
jellyfish	slefren fôr
headphone	clustffon
bathroom	ystafell ymolchi
bedroom	ystafell wely
living room	ystafell fyw
dining room	ystafell fwyta
compact disc	crynoddisg
player	chwaraewr
CD player	chwaraewr CD
penthouse	penty
saucepan	sosban
cooker	cwcer
fry	ffrio
steam	stemio
dirty	brwnt
frying pan	padell ffrio
repaint	ailbeintio
archdruid	archdderwydd
speaker	siaradwr
chair	cadeirio
several time	sawl gwaith
broadcast	darllediad
cormorant	morfran
cormorant	mulfran
European shag	mulfran werdd
trial	treial
drain	draenio
drainage	draeniad
approve	cymeradwyo
ditch	ffos
inconvenient	anghyfleus
spurge	llaethlys
milkwort	amlaethai
callus	caleden
disgusting	ffiaidd
abomination	ffieiddbeth
current	cerrynt
one-way	unffordd
promenade	rhodfa
stroll	rhodianna
racetrack	rhedfa
shaky	simsan
unsteadiness	simsanrwydd
sway	simsanu
movement	symudiad
shaking	siglad
shaky	sigledig
wagtail	sigl-di-gwt
leisurely	ling-di-long
from time to time	o bryd i'w gilydd
bob hyn a hyn	bob hyn a hyn
at a time	fesul
keep away	cadw draw
as far as	hyd yn oed
shine	disgleirio
virtue	rhinwedd
series	cyfres
depth	dyfnder
loins	lwyn
leafy	deiliog
bag am oes	bag am oes
cash desk	desg talu
for life	am oes
or not	neu beidio
on-line	ar lein
high street	stryd fawr
article	bannod
siaradwyr brodorol	siaradwr brodorol
brotherly	brodorol
encouraging	calonogol
reinforce	atgyfnerthu
reinforcement	atgyfnerthiad
impersonal preterite	-pwyd
hardware	caledwedd
software	meddalwedd
computer	cyfrifiadurol
email	e-bost
file	ffeil
program	rhaglennu
mynd o’i le	mynd o'i le
Saxon	Sacson
sphagnum	migwyn
weakling	llipryn
