where	on
parody	parodiar
make	perorar
exchange	permutar
desist	desistir
designate	designar
guide	dirigir
surpass	superar
worry	inquietar
man	tripular
cork	tapar
suture	suturar
provoke	suscitar
peel	pelar
impute	imputar
inaugurate	inaugurar
incinerate	incinerar
incline	inclinar
incite	incitar
embed	incrustar
outrage	indignar
pardon	indultar
inhibit	inhibir
innoculate	inocular
bury	inhumar
influence	influenciar
enter	internar
legislate	legislar
legitimize	legitimar
injure	lesionar
harm	vulnerar
vociferate	vociferar
turn	virar
ventilate	ventilar
venerate	venerar
standardize	uniformar
thresh	trillar
debut	debutar
shorten	amainar
moor	amarrar
set	ambientar
admonish	amonestar
incite	amotinar
amputate	amputar
crave	anhelar
animate	animar
note	anotar
overpower	apoderar
bring	aportar
bring	aproximar
purify	apurar
atrophy	atrofiar
run over	atropellar
endorse	avalar
inform	avisar
Balearic	balear
battle	batallar
roar	bramar
sprout	brotar
prance	cabriolar
surrender	capitular
beg	captar
marry	casar
castrate	castrar
censure	censurar
nail	clavar
chlorinate	clorar
coagulate	coagular
limit	coartar
coexist	coexistir
command	comandar
balance	compaginar
calculate	computar
decorate	condecorar
condition	condicionar
make	confeccionar
border	confinar
freeze	congelar
congratulate	congratular
imply	connotar
consecrate	consagrar
consist	consistir
consolidate	consolidar
conspire	conspirar
verify	constatar
contact	contactar
infect	contagiar
contrast	contrastar
invite	convidar
cooperate	cooperar
copy	copiar
copulate	copular
crown	coronar
corroborate	corroborar
burn	cremar
crackle	crepitar
culminate	culminar
blame	culpar
attend	cursar
caesura	cesura
nominate	nominar
undulate	ondular
order	ordenar
originate	originar
orchestrate	orquestrar
punish	penar
scent	perfumar
pilot	pilotar
apply	postular
promote	potenciar
fall	precipitar
predominate	predominar
worry	preocupar
presage	presagiar
proclaim	proclamar
seek	procurar
proliferate	proliferar
hit	pegar
monarch	monarca
affection	afecte
chocolate	xocolata
alarm	alarma
swap	barata
wander	deambular
weaken	debilitar
decant	decantar
decapitate	decapitar
discolor	decolorar
decree	decretar
deform	deformar
degrade	degradar
betray	delatar
deliberate	deliberar
delimit	delimitar
delay	demorar
denigrate	denigrar
name	denominar
separate	departir
deport	deportar
purify	depurar
defeat	derrotar
disarm	desarmar
upset	desarreglar
spoil	desbaratar
delay	demora
overflow	desbordar
derail	descarrilar
unfold	desdoblar
despair	desesperar
parade	desfilar
shuck	desgranar
disinfect	desinfectar
deflate	desinflar
disintegrate	desintegrar
appoint	destinar
uncouple	desunir
detail	detallar
ruin	deteriorar
devastate	devastar
defame	difamar
tell the difference	diferenciar
dilate	dilatar
resign	dimitir
resolve	dirimir
disperse	dispersar
separate	distanciar
key	tecla
distort	distorsionar
document	documentar
endow	dotar
drain	drenar
eclipse	eclipsar
make	elaborar
praise	elogiar
elude	eludir
emanate	emanar
emancipate	emancipar
pack up	embalar
emigrate	emigrar
impale	empalar
join	empalmar
package	empaquetar
paste	empastar
draw	empatar
lift	empinar
swot	empollar
emulate	emular
enamor	enamorar
chain	encadenar
stuck	encallar
direct	encaminar
incarnate	encarnar
thread	enfilar
sheathe	enfundar
encompass	englobar
entangle	enredar
train	entrenar
excite	entusiasmar
equip	equipar
scalar	escalar
heat	escalfar
scan	escandir
use sparingly	escatimar
tilt	escorar
scrutinize	escrutar
sculpt	esculpir
share out	repartir
Germinal	germinal
enamel	esmaltar
scare	espantar
avoid	esquivar
ball	baló
stick	bastó
bud	borró
button	botó
bladder	bufa
buffoon	bufó
dazzling	fulgurant
acetate	acetat
diacritical mark	·
money	calé
side	cantó
teasel	cardó
onion	ceba
spark	centella
closing	clausura
order	comanda
cumin	comí
accordance	conforme
stamp	estampar
scam	estafar
pack	estibar
love	estimar
stimulate	estimular
stretch	estirar
structure	estructurar
label	etiquetar
evacuate	evacuar
evade	evadir
evaporate	evaporar
demonstrate	evidenciar
exacerbate	exacerbar
exasperate	exasperar
excavate	excavar
excite	excitar
exclaim	exclamar
excrete	excretar
exonerate	exculpar
exhume	exhumar
console	consola
exile	exiliar
exonerate	exonerar
expand	expandir
explore	explorar
exploit	explotar
export	exportar
squeeze	exprimir
exterminate	exterminar
exult	exultar
contagion	contagió
conversation	conversa
chorea	corea
race	cursa
beetle	escarabat
discipline	disciplina
apology	disculpa
double	doble
fifth	quint
wasp	vesper
congratulate	felicitar
ferment	fermentar
film	filmar
filter	filtrar
poultice	fomentar
forge	forjar
fragment	fragmentar
squadron	esquadra
narwhal	narval
fuse	fusionar
walrus	morsa
hyena	hiena
gallop	galopar
gesticulate	gesticular
negotiate	gestionar
live	habitar
hibernate	hibernar
only	sols
in	dins
yet	encara
all	tots
equal	igualar
magnetize	imantar
impact	impactar
give	impartir
inconvenience	incomodar
infiltrate	infiltrar
inflate	inflar
inhale	inhalar
innovate	innovar
establish	instaurar
intercept	interceptar
intimidate	intimidar
title	intitular
lament	lamentar
stone	lapidar
liquidate	liquidar
they	ells
enthusiasm	entusiasme
bill	factura
beechnut	faja
filter	filtre
scale	escama
feint	finta
fracture	fractura
spur	esperó
scam	estafa
print	estampa
stowage	estiba
material	estofa
step	grada
graviton	gravitó
protection	guarda
prize	guardó
waste	malbaratar
suckle	mamar
manufacture	manufacturar
detour	marrar
enrol	matricular
meditate	meditar
measure	mesurar
mine	minar
model	modelar
motivate	motivar
mutate	mutar
vilify	vilipendiar
persevere	perseverar
prune	podar
award	premiar
preserve	preservar
propitiate	propiciar
give	propinar
prosper	prosperar
flow	rajar
reaffirm	reafirmar
sight land	recalar
recite	recitar
recover	recobrar
reconcile	reconciliar
compile	recopilar
delight	recrear
write up	redactar
restructure	reestructurar
refine	refinar
reflect	reflexionar
reform	reformar
refract	refractar
cool	refrigerar
shelter	refugiar
refute	refutar
give	regalar
generate	regenerar
run	regentar
rehabilitate	rehabilitar
reiterate	reiterar
report	relatar
row	remar
finish off	rematar
remember	rememorar
remodel	remodelar
renounce	renunciar
echo	repercutir
report	reportar
replace	reposar
unify	unificar
repudiate	repudiar
bribe	subornar
rescue	rescatar
protect	resguardar
resign	resignar
resist	resistir
excuse	excusa
anagram	anagrama
genome	genoma
skull	calavera
restore	restaurar
summarize	resumir
retard	retardar
return	retornar
portray	retratar
reverberate	reverberar
revere	reverenciar
revise	revisar
rhyme	rimar
ponder	rumiar
satiate	saciar
salivate	salivar
sanction	sancionar
secrete	secretar
indicate	signar
silence	silenciar
simulate	simular
situate	sitiar
surpass	sobrar
overfeed	sobrealimentar
overestimate	sobreestimar
subdivide	subdividir
underestimate	subestimar
subsist	subsistir
supervise	supervisar
supplant	suplantar
substitute	suplir
delete	suprimir
fifteen	quinzena
impress	impressionar
wait	tardar
televise	televisar
return	tornar
torture	torturar
weave	tramar
confirm	transfigurar
transform	transformar
travel	transitar
drill	trepar
pact	pacte
patrol	patrulla
call up	lleva
parrot	lloro
brittlegill	llora
exchange	permuta
ball	pilota
python	pitó
question	pregunta
sprout	tany
cosmology	cosmologia
dentist	dentista
pass	passar
biology	biologia
hand	mà
ban	proclama
tip	propina
pamphlet	prospecte
maneuver	maniobra
manufacture	manufactura
grounds	marro
brown	marró
cottage cheese	mató
newborn	nadó
border	orla
reform	reforma
challenge	repte
leftovers	restes
hall	saló
magazine	revista
heel	taló
excess	sobra
temple	templa
testone	testó
shearing	tosa
weft	trama
trimming	trepa
mullein	trepó
suture	sutura
crowd	turba
cave	cova
uniform	uniforme
union	unió
neutral	neutre
seal	foca
fin	aleta
historian	historiador
shoot	brot
track	pista
terrorist	terrorista
roll	rol
exam	prova
hammock	hamaca
snow	nevar
avoidable	evitable
motorist	motorista
view	parer
vandalism	vandalisme
aviator	aviador
fashion	moda
hypotenuse	hipotenusa
comb	cresta
chalk	creta
crypt	cripta
retain	retenir
bristle	cerra
geology	geologia
paleontology	paleontologia
archaeology	arqueologia
apt	convenir
insect	insecte
shawl	xal
paradigm	paradigma
club	porra
truffle	trufa
proverb	proverbi
demagogue	demagog
amplitude	amplitud
not	no
un-	des-
France	França
Holland	Holanda
Russia	Rússia
Denmark	Dinamarca
manager	gerent
Capcir	Angles
correct	correcte
infant	infanta
flagpole	asta
shirt	camisa
chromosome	cromosoma
chronicler	cronista
crust	crosta
galley slave	galiot
throne	tron
invert	invertir
producte interior brut	PIB
January	gener
sister	germana
germanium	germani
palate	paladar
Cuban	cubana
skiing	esquí
foil	floret
chalice	calze
research	recerca
research	recercar
crop	tondre
guide	guiar
bay	rada
descending	descendent
mustard	mostarda
specify	especificar
cloth	drap
lap	falda
diene	diè
twill	sarja
what	què
knock down	derrocar
soft	tou
niobium	niobi
deliver	entregar
athlete	atleta
analogy	analogia
anthropology	antropologia
autonomy	autonomia
she	ella
poetry	poesia
edible	comestible
Easter	Pasqua
calendar	calendari
Persian	persa
tool	estri
defecator	caganer
seismology	sismologia
temperature	temperatura
bruise	cascar
anal sex	sexe anal
era	època
dolphin	dofí
heir	hereu
Caranx	sorella
beyond	passant
enthusiastic	entusiasta
l'	Epifania
soon	tost
Andorra	andorrana
forty	quaranta
IPA	AFI
category	categoria
Turkish	turc
asthma	asma
vegetable	verdura
per el	pel
armchair	poltrona
artist	artista
southern	meridional
leave	deixar
gynecology	ginecologia
assembly	assemblea
sociology	sociologia
lawyer	advocat
fried	fregit
autistic	autista
augury	auguri
international	internacional
physiology	fisiologia
anatomy	anatomia
morphology	morfologia
charming	encantador
horse	cavall
proposal	proposta
typography	tipografia
meteorology	meteorologia
publish	editar
build	edificar
prefer	preferir
one thousand	miler
sample	mostra
ski	esquiar
cup	tassa
rhizome	rizoma
tetralogy	tetralogia
hamburger	hamburguesa
metal	metall
pentathlete	pentatleta
defender	defensor
while	mentre
pessimistic	pessimista
impure	impur
Llevant	Mallorca
puerile	pueril
departmental	departamental
sage	savi
capybara	capibara
Afrikaans	afrikaans
parrot	papagai
apathy	apatia
riot	disturbi
which	qual
railway	ferroviari
ontology	ontologia
demography	demografia
bibliography	bibliografia
Hindu	hindú
biography	biografia
navigate	navegar
celestial	astre
sob	sanglot
trilogy	trilogia
learned	docte
owner	propietari
tweet	tuit
adverb	adverbi
pond	bassa
Serb	serbi
insulin	insulina
torso	tors
manor house	casal
pathology	patologia
communist	comunista
Marxist	marxista
entomology	entomologia
gardener	jardiner
panther	pantera
vinegar	vinagre
infrastructure	infraestructura
occipital bone	occipital
contribute	contribuir
gross	grossa
hurry	pressa
prism	prisma
asbestos	asbest
plutonium	plutoni
hunger	fam
point	pua
pause	pausa
ant	formiga
shark	tauró
disown	renegar
extreme	extrem
worthy	digne
theology	teologia
aboriginal	aborigen
vampire	vampir
competition	concurs
heather	bruc
unhealthy	insalubre
berry	baia
when	quan
windy	ventar
sheath	beina
bible	bíblia
crack	esquerda
hazelnut	avellana
red	roig
spindle	fus
storm	tempesta
irony	ironia
Belgian	belga
Dutchwoman	neerlandesa
lexeme	lexema
bon dia	bon dia
Estonia	Estònia
icon	icona
idealistic	idealista
caution	cautela
stuff	farcir
-ion	-ió
cement	ciment
poppy	rosella
immunology	immunologia
larynx	laringe
brandish	brandar
sideboard	bufet
pending	pendent
tasting	tast
diadem	diadema
unbreakable	infrangible
climatology	climatologia
diagnosis	diagnosi
diarrhea	diarrea
one	hom
frigatebird	fregata
impressionistic	impressionista
potter	ceramista
possibly	possiblement
perfidy	perfídia
fill de puta	fill de puta
barn owl	meuca
whore	bagassa
prostitute	barjaula
mandible	barram
alimentary	alimentari
tracing	calc
furious	furibund
dedicate	dedicar
other	altre
someone else	altri
altruist	altruista
selfish	egoista
telescope	telescopi
laboratory	laboratori
phase	fase
terrestrial	terrestre
cathedral	catedral
sowing	sembra
ultrasound	ecografia
your	vostre
nerve	nervi
territory	territori
situated	siti
technology	tecnologia
patrimony	patrimoni
domicile	domicili
witness	testimoni
accessory	accessori
clear	clar
dark	obscur
emblem	emblema
necessary	necessari
retake	reprendre
empathy	empatia
cyclist	ciclista
money	diners
assault	agredir
transgress	transgredir
schedule	adiar
choreography	coreografia
criterion	criteri
macroeconomics	macroeconomia
magistrate	magistrat
we	nosaltres
curium	curi
health	sanitari
previous	previ
sapphire	safir
rule	normativa
external	extern
deep	profund
custody	tutela
cytology	citologia
minimalist	minimalista
ship	nau
gelatin	gelatina
three-dimensional	tridimensional
anise	anís
benefit	benefici
promise	promesa
empire	imperi
responsible	responsable
urology	urologia
dermatology	dermatologia
super	súper
adultery	adulteri
mime	mim
agnosticism	agnosticisme
indication	indici
phenomenon	fenomen
phenomenal	fenomenal
jinn	geni
right	destre
imperatorial	imperatori
zirconium	zirconi
auspice	auspici
grandfather	avi
left	sinistre
building	edifici
eulogy	elogi
uranium	urani
carbon	carboni
cinnabar	cinabri
daily	diari
pervert	pervertir
slit	degollar
warn	prevenir
sheaf	garba
crime	delinquir
roam	errar
UAE	EAU
piece	tros
excited	excitat
versify	versificar
cardiology	cardiologia
oncology	oncologia
neurology	neurologia
geriatrics	geriatria
calcium	calci
post	apostar
cadmium	cadmi
nobelium	nobeli
heart disease	cardiopatia
endocrinology	endocrinologia
Pali	pali
member	soci
rhenium	reni
calcarine	calcari
binary	binari
contagion	contagi
corsair	corsari
deluge	diluvi
vilification	vilipendi
skull	crani
library	bibliotecari
plate	placa
rosary	rosari
easy	fàcil
mystery	misteri
decade	decenni
beautiful	formós
decline	declivi
petroleum	petroli
veterinary	veterinari
opposite	contrari
Perseus	Perseu
Pleiades	Alcíone
ganglion	gangli
teaching	magisteri
toothpaste	dentifrici
misfortune	infortuni
inventory	inventari
iridium	iridi
itinerary	itinerari
Armenian	armeni
addressee	destinatari
Macedonian	macedoni
meninx	meninge
incendiary	incendiari
planetary	planetari
beneficiary	beneficiari
nomenclature	nomenclatura
countryside	campestre
nephrology	nefrologia
dietician	dietista
plague	pesta
consumerist	consumista
magnetosphere	magnetosfera
shad	alosa
carceral	carcerari
complementary	complementari
disciplinary	disciplinari
home	domiciliari
discotheque	discoteca
discography	discografia
bitch	gossa
real estate	immobiliari
immune	immunitari
intermediate	intermedi
median	mediana
narrative	narrativa
ordinary	ordinari
personifies death	parca
emmer	pisana
pontifical	pontifici
respiratory	respiratori
rotunda	rotonda
width	través
drunkenness	turca
cupping glass	ventosa
own goal	autogol
relate	referir
complete	complet
per sempre	per sempre
tun	tona
epidemiology	epidemiologia
episode	episodi
kind	amable
rock	roca
biscuit	galleta
aetiology	etiologia
third	tercera
genealogy	genealogia
geomorphology	geomorfologia
gerund	gerundi
monopoly	monopoli
telephone	telefonar
poetess	poetessa
children	canalla
dandruff	caspa
opium	opi
theism	teisme
wake	despertar
mile	milla
biennium	bienni
well-known	notori
martyrdom	martiri
cider	sidra
terminology	terminologia
sodium	sodi
scene	escena
divert	desviar
conformist	conformista
shipwreck	naufragi
clock	rellotge
finalist	finalista
semifinalist	semifinalista
fiber	fibra
-esque	-esc
bombard	bombarda
methodology	metodologia
UN	ONU
enclosed	clos
bishop	alfil
feat	gesta
creature	criatura
full	replet
vacant	buit
genocide	genocidi
equilibrium	equilibri
involve	involucrar
practice	practicar
repeat	repetir
season	temporada
maladroit	maldestre
rise	pujar
hair	crin
national	nacional
garbage	fems
defeatist	derrotista
save	campar
folder	carpeta
Hausa	haussa
scale leaf juniper	savina
parliamentary	parlamentari
freight charge	noli
muse	musa
amuse	divertir
fallacy	fal·làcia
wallet	cartera
medal	medalla
enclosed space	recinte
caricature	caricatura
philology	filologia
cartography	cartografia
speaking	parlant
astute	astut
fight	bregar
stepmother	madrastra
sacrifice	sacrifici
ham	pernil
troposphere	troposfera
sustainable	sostenible
swallow	tragar
senator	senador
construct	fabricar
preach	predicar
aerial	aeri
malignant	maligne
stock	bestiam
soul	ànima
perfectionistic	perfeccionista
trap	trampa
certify	certificar
telegraph	telegrafiar
ésser humà	ésser humà
shoulder	espatlla
elbow	colze
bagpipes	cornamusa
oyster	ostra
broth	brou
correct	corregir
rub	fregar
bed	llit
photon	fotó
car	cotxe
automobile	automòbil
osseous	ossi
monkey	mico
icicle	caramell
madness	follia
impede	impedir
influence	influir
water	regar
feather	ploma
blood	sanguini
ununtrium	ununtri
ununquadium	ununquadi
ununpentium	ununpenti
ununhexium	ununhexi
ununseptium	ununsepti
ununoctium	ununocti
ununennium	ununenni
unbinilium	unbinili
law	llei
hook	garfi
wrist	canell
read	llegir
rebuke	repulsa
leaf	fulla
coach	entrenador
useless	inútil
require	requerir
comrade	camarada
lime	calç
gypsum	guix
lick	llepar
roof	teulada
with	amb
table	taula
cloud	núvol
dose	dosi
gnome	gnom
nipple	mugró
hair	cabell
hair	pèl
belly	panxa
jaw	mandíbula
loin	llom
whip	fuet
rosemary	romer
thumb	polze
rhodium	rodi
breath	alè
hole	forat
apple	poma
bunch	raïm
bull	brau
mirror	mirall
mirror	espill
bay	badia
bird	ocell
seed	llavor
moisture	humitat
flax	lli
Osona	Vic
sort	mena
claw	urpa
hoof	peülla
conditional	condicional
extension	estesa
shame	vergonya
rabbit	conill
Central Europe	Europa Central
poison	verí
poison	metzina
discreet	discret
artifice	artifici
butterfly	papallona
laughter	rialla
portal	portada
flea	puça
extraterrestrial	extraterrestre
book	llibre
utensil	utensili
railway	ferrocarril
plum tree	pruner
roar	rugir
female	femella
agricultural	agrícola
titanium	titani
financial	financer
faithful	fidel
obsolete	obsolet
adventure	aventura
1st	1a
mounting	munta
answer	resposta
arginine	arginina
sorghum	sorgo
duck	ànec
-ism	-isme
lysine	lisina
manioc	mandioca
mistake	equivocar
guitar	guitarra
