floor	cat
deer	cerb
comb	pieptene
owl	buf
burn	arde
desire	dori
fact	fapt
reed	stuf
heavy	greu
well	bine
black	negru
finger	deget
gold	aur
barley	orz
axe	topor
star	stea
write	scrie
tie	lega
theft	furt
sulfur	sulf
live	viu
baked	copt
dove	porumbel
half	jumătate
sun	soare
nape	ceafă
today	astăzi
god	zeu
honey	miere
name	nume
crayfish	rac
curious	curios
drape	drapa
Robin Hood	haiduc
count	conte
much	mult
over	peste
wolf	lup
tent	cort
wide	larg
field	ogor
elm	ulm
de	plin
world	lume
fight	luptă
request	cere
roasted	fript
stag beetle	rădașcă
hornless	ciut
prune	dărâma
loose	lăbărțat
bud	mugur
grass snake	năpârcă
hay	fân
fly	zbura
today	azi
bee	albină
insert	băga
furrow	brazdă
apricot	caisă
lid	capac
tar	catran
kettle	cazan
strawberry	căpșună
hour	ceas
fog	ceață
cup	ceașcă
expensive	scump
herd	cârd
mole	cârtiță
pub	cârciumă
laugh	râde
play	juca
eat	mânca
peak	vârf
know	ști
say	zice
sound	suna
say	spune
end	sfârși
pause	sista
counsel	sfat
beet	sfeclă
quarter	sfert
holy	sfânt
young	tânăr
late	târziu
crooked	strâmb
humpbacked	gârbov
pave	pava
coffin	sicriu
rifle	pușcă
down	puf
ray	rază
dust	praf
ring	inel
mare	iapă
thief	hoț
limit	hotar
fault	hibă
wheat	grâu
left	stâng
sand	nisip
hamster	hârciog
work	muncă
autumn	toamnă
market	târg
market	piață
pike	știucă
saddle	șa
seven	șapte
six	șase
snake	șarpe
three	trei
four	patru
five	cinci
zeci	zece
tobacco	tutun
earth	pământ
land	țară
shore	țărm
apprentice	ucenic
lane	uliță
butter	unt
century	veac
storm	vifor
vote	vot
sparrow	vrabie
weather	vreme
dragon	zmeu
magic	vrajă
sons	fii
thought	gând
monkey	maimuță
goods	marfă
tomorrow	mâine
bread	pâine
hand	mână
for	pentru
between	între
friend	prieten
lunch	prânz
river	râu
swallow	rândunică
row	rând
throat	gât
red	roșu
pomegranate	rodie
chair	scaun
change	schimb
account	seamă
breast	sân
husband	soț
flag	steag
oak tree	stejar
glass	sticlă
pillar	stâlp
beehive	stup
thrush	sturz
sour cream	smântână
tear	rupe
rock	stană
field	câmp
when	când
sing	cânta
cave	bârlog
beam	grindă
beam	bârnă
how much	cât
razor	brici
buffalo	bivol
drug	drog
spend	cheltui
helm	cârmă
yellow	galben
glass	pahar
soldier	soldat
comrade	tovarăș
Eden	eden
trick	truc
pickle	mura
walnut	nuc
Aryan	arian
vagina	vagin
uterus	uter
flax	inar
was	eram
calculation	calculare
odd	impar
meow	miau
clergyman	diacon
professor	profesor
editor	redactor
oological	oologic
station wagon	combi
firm	ferm
place	loc
matrix	matrice
silica	silice
bullock	junc
prudish	prud
cubeb	cubeb
stockpile	stoc
fatherland	patrie
unrepentant	impenitent
log in	loga
pompom	pompon
astronomy	astronomie
chlorination	clorurare
disease	maladie
spike	crampon
pizzeria	pizzerie
throne	taht
predestined	sortit
goniometric	goniometric
investigating	investigator
stupid	debil
sunnah	sunna
head waiter	ober
trot	trota
county	TR
football	fotbal
news	veste
announce	vesti
anomaly	anomalie
carbonate	carbonata
selfish	egoist
brochure	prospect
Greek	grec
ugh	uf
aedile	edil
clay	lut
shudder	fior
ebony	eben
love	iubire
flint	silex
seraglio	serai
assemble	monta
concrete	beton
anatomical	anatomic
auditorial	auditor
paralytic	paralitic
epilogue	epilog
etiological	etiologic
intimate	intima
resentment	resentiment
maharaja	maharajah
paternoster lift	paternoster
perfume	olm
maze	dedal
calcification	calcificare
calcinate	calcina
calcination	calcinare
negativize	negativa
germination	germinare
nominative case	nominativ
genitive case	genitiv
dative case	dativ
orchestrator	orchestrator
subtle	subtil
allée	alee
music	muzică
colony	colonie
ablative	ablativ
art	artă
park	parc
balcony	balcon
shouting	criant
sort	tria
love	adora
augment	augmenta
condemn	condamna
sleep	dormit
express	exprima
imitate	imita
import	importa
hymn	imn
again	iar
fold	plia
retreat	recula
retort	riposta
trachyte	trahit
cross	traversa
lilac	lila
eject	ejecta
wonder	mira
painting	pictură
easel	șevalet
wind	bobina
drumstick	copan
see	vedea
work	treabă
work	operă
work	lucrare
journey	voiaj
trip	excursie
travel	călătorie
speak	vorbi
discuss	discuta
understand	înțelege
nothing	nimic
bad	rău
necessity	necesitate
frost	bruma
revere	venera
admire	admira
week	săptămână
downcast	abătut
this	acest
mistake	greșeală
need	cerință
charcoal	mangal
always	întotdeauna
never	nicicând
never	niciodată
request	cerere
ask	întreba
search	căuta
search	cercetare
search	căutare
city	oraș
citadel	cetate
find	găsi
discovery	descoperire
ontogenetic	ontogenic
hell	iad
paronomastic	paronomastic
reason	cugeta
think	gândi
guess	crede
judge	judeca
take into consideration	lua în considerație
velocity	viteză
female friend	amică
friend	prietenă
lorry	camion
quadratic	pătrat
exit	ieșire
exit	ieși
screenwriter	scenarist
close	închide
finish	termina
finish	finisa
start	tresărire
start	tresări
start	începe
start	porni
garden balsam	canale
enjoy	delecta
age	eră
age	vârstă
age	etate
win	câștiga
victory	victorie
citizen	cetățean
citizen	cetățeancă
use	folosire
use	utiliza
use	folosi
cheap	ieftin
burn	arsură
call	chema
call	chemare
call	striga
guide	ghida
self-centered	egocentric
conspiracy	complot
perfume	parfum
Kurd	kurd
careen	carena
cavity	carie
outside	afară
тимп	timp
wash	spăla
wash	spălare
thanks	mersi
thank you	mulțumesc
wood	lemn
employ	angaja
pink	pembe
cultic	cultist
manganese	mangan
lengthen	lungi
before	înainte
before	dinainte
hermeneutics	hermeneutică
pantheism	panteism
aeronautical	aeronautic
debtor	debitor
genome	genom
merciless	inclement
Gnosticism	gnosticism
weight	greutate
old	bătrân
old	vechi
old woman	babă
tenacious	tenace
force	putere
tax	taxa
jockstrap	suspensor
exocarpe	exocarp
beautiful	frumos
stadium	stadion
cut	tăietură
cut	tăia
cool	friguros
spheric	sferic
shit	căcat
catch	prinde
dick	pulă
likewise	asemenea
win	învinge
conquer	cuceri
return	returna
back	înapoi
destroy	distruge
disappear	dispărea
try	încerca
try	încercare
enforce	impune
force	forța
forest	pădure
forest	silvă
send	trimite
termination	capăt
end	sfârșit
mail	expedia
receive	recepționa
support	argumenta
dawn	auroră
madness	folie
true	adevărat
citation	citare
worshiper	adulator
voyager	voiajor
interocular	interocular
tire	pneu
abnormal	anormal
hat	pălărie
engraved	gravat
locust	lăcustă
rapist	violator
cocker spaniel	cocker
codex	codice
halo	aureola
globe	glob
halo	nimb
maraca	maracas
redo	reface
atoll	atol
identical	identic
confiscate	confisca
peripatetic	ambulant
albino	albinos
clandestine	clandestin
occupy	ocupa
occupation	ocupare
baby	bebe
bind	coperta
alimentary	alimentar
annular	anular
chancellor	cancelar
January	ianuarie
February	februarie
March	martie
April	aprilie
June	iunie
July	iulie
form	formular
September	septembrie
October	octombrie
November	noiembrie
December	decembrie
imaginary	imaginar
inventory	inventar
mortar	mojar
hourly	orar
baker	pitar
generally	generalmente
second	secundă
hour	oră
moon	lună
assist	secunda
Member of Parliament	parlamentar
radial	radiar
tributary	tributar
arbitrary	arbitrar
rarely	arar
auxiliary	auxiliar
catarrh	catar
commission	comisionar
coronary	coronar
cash	numerar
originating	originar
pencil case	penar
admit	admite
abound	abunda
grab	acapara
seizure	acaparare
acclaim	aclama
acclamation	aclamare
accommodate	acomoda
accommodation	acomodare
accumulate	acumula
accumulation	acumulare
adapt	adapta
adaptation	adaptare
manage	administra
administration	administrare
admiring	admirare
adopt	adopta
adoption	adoptare
adulate	adula
adulation	adulare
affect	afecta
refine	afina
purification	afinare
affirmation	afirmare
agitation	agitare
aggravate	agrava
aggravation	agravare
chocolate	ciocolată
adjust	ajusta
adjustment	ajustare
alarm	alarma
alarm	alarmare
those	alea
yearning	alean
alert	alerta
alienate	aliena
alienation	alienare
feed	alimenta
feeding	alimentare
alter	altera
alteration	alterare
moor	amara
amputate	amputa
amputation	amputare
annex	anexa
annexation	anexare
cancel	anula
nullification	anulare
special	aparte
applaud	aplauda
bring	aporta
appreciate	aprecia
approximate	aproxima
approximation	aproximare
argumentation	argumentare
arming	armare
articulate	articula
articulation	articulare
assault	asalta
assault	asaltare
besiege	asedia
asphalt	asfalta
asphalting	asfaltare
asphyxiate	asfixia
asphyxia	asfixie
assimilate	asimila
assimilation	asimilare
assist	asista
associate	asocia
aspire	aspira
aspiration	aspirare
disciplinarian	disciplinar
dispensary	dispensar
documentary	documentar
Germinal	germinal
assume	asuma
atrophy	atrofia
atrophy	atrofie
audit	audita
augur	augura
colorize	aviva
benefit	beneficia
hub	bucea
drainpipe	burlan
acetate	acetat
loyal	leal
calculate	calcula
calibrate	calibra
calibration	calibrare
bill of exchange	cambie
capitulate	capitula
capitulation	capitulare
capture	capta
catch	capturare
cassation	casare
castrate	castra
castration	castrare
cede	ceda
celebrate	celebra
cement	cementa
cementation	cementare
circulate	circula
proclaim	clama
coagulate	coagula
coagulation	coagulare
stalk	cocean
coexist	coexista
collaborate	colabora
collaboration	colaborare
collect	colecta
collection	colectare
Christmas Eve	colinda
caroling	colindare
order	comanda
ordering	comandare
combat	combate
combine	combina
combination	combinare
comment	comenta
commission	comisiona
compaction	compactare
compare	compara
comparison	comparare
compensate	compensa
compensation	compensare
compile	compila
compilation	compilare
completion	completare
compute	computa
dismissal	concediere
focus	concentra
concentration	concentrare
reconcile	concilia
condense	condensa
condensation	condensare
connect	conecta
connection	conectare
configure	configura
configuration	configurare
confirm	confirma
confirmation	confirmare
conform	conforma
conformation	conformare
confuse	confunda
freeze	congela
freezing	congelare
congratulate	congratula
congratulation	congratulare
beg	conjura
preserve	conserva
consider	considera
consideration	considerare
consist	consista
console	consola
consolation	consolare
consolidate	consolida
consolidation	consolidare
conspire	conspira
consist	consta
notice	constata
observation	constatare
consternate	consterna
consternation	consternare
constipate	constipa
consult	consulta
consultation	consultare
consume	consuma
contaminate	contagia
contaminate	contamina
contamination	contaminare
contemplate	contempla
contemplation	contemplare
contest	contesta
contestation	contestare
countermand	contramanda
cancellation	contramandare
contrast	contrasta
control	controla
converse	conversa
cooperate	coopera
cooperation	cooperare
coopt	coopta
co-optation	cooptare
contract	crispa
culminate	culmina
culmination	culminare
cultivate	cultiva
cultivation	cultivare
curare	curara
court	curte
court	curta
custody	custodie
dating	datare
debilitate	debilita
debilitation	debilitare
debit	debita
debut	debuta
decant	decanta
decantation	decantare
decapitate	decapita
decapitation	decapitare
declaim	declama
declamation	declamare
declare	declara
declaration	declarare
decline	declina
take off	decola
takeoff	decolare
discolor	decolora
fading	decolorare
decorate	decora
decoration	decorare
decree	decreta
deform	deforma
deformation	deformare
defraud	defrauda
degenerate	degenera
degeneration	degenerare
degrade	degrada
degradation	degradare
taste	degusta
degustation	degustare
debate	delibera
deliberation	deliberare
delimit	delimita
delimitation	delimitare
denigrate	denigra
disparagement	denigrare
denote	denota
far	departe
deplore	deplora
deport	deporta
deportation	deportare
deprave	deprava
depravity	depravare
depreciate	deprecia
depress	deprima
derive	deriva
derivation	derivare
decipher	descifra
decipherment	descifrare
disfigurement	desfigurare
dehydrate	deshidrata
dehydration	deshidratare
designate	designa
destine	destina
detect	detecta
detection	detectare
deteriorate	deteriora
deterioration	deteriorare
determine	determina
determination	determinare
detest	detesta
detonate	detona
devastate	devasta
devastation	devastare
devour	devora
dictate	dicta
dictation	dictare
dilate	dilata
expansion	dilatare
dynamite	dinamita
detonation	dinamitare
discipline	disciplina
exculpate	disculpa
exoneration	disculpare
disseminate	disemina
dissert	diserta
hide	disimula
dissimulation	disimulare
dissipate	disipa
dissipation	disipare
dissociate	disocia
dispense	dispensa
disperse	dispersa
dispersal	dispersare
disthene	disten
distort	distorsiona
distortion	distorsionare
document	documenta
documentation	documentare
domination	dominare
doze	dormita
drain	drena
drainage	drenare
dribble	dribla
dribble	driblare
fibrillary	fibrilar
forger	forjar
fragmentary	fragmentar
narwhal	narval
eclipse	eclipsa
elaborate	elabora
elaboration	elaborare
eliminate	elimina
elimination	eliminare
praise	elogia
elucidate	elucida
elucidation	elucidare
elude	eluda
emanate	emana
emanation	emanare
emancipate	emancipa
emancipation	emancipare
administrative	gestionar
glossary	glosar
emigrate	emigra
emulsify	emulsiona
emulsifying	emulsionare
incendiary	incendiar
interlayer	intercalar
vex	enerva
annoyance	enervare
lapidary	lapidar
facilitate	facilita
facilitation	facilitare
charge	factura
enumerate	enumera
billing	facturare
enumeration	enumerare
fascinate	fascina
fascination	fascinare
fecundate	fecunda
fertilization	fecundare
congratulate	felicita
greeting card	felicitare
ferment	fermenta
ferment	fermentare
fertilize	fertiliza
fertilization	fertilizare
fibrillate	fibrila
fibrillation	fibrilare
figuration	figurare
filming	filmare
filter	filtra
filtration	filtrare
flog	flagela
flogging	flagelare
flotation	flotare
forge	forja
formation	formare
formulation	formulare
fracture	fractura
fragment	fragmenta
fragmentation	fragmentare
frustration	frustrare
smoke	fuma
substantiation	fundamentare
gallop	galopa
generation	generare
estimate	estima
gesticulate	gesticula
gesticulation	gesticulare
estimation	estimare
manage	gestiona
Gorj	gorjean
grade	grada
gradation	gradare
granulate	granula
granulation	granulare
gravitate	gravita
taste	gusta
tasting	gustare
hibernate	hiberna
hibernation	hibernare
moisturize	hidrata
hydration	hidratare
mammary	mamar
sailor	marinar
miller	morar
drawbridge	podar
advertising	publicitar
refractory	refractar
waltz	valsa
evacuate	evacua
evacuation	evacuare
escape	evada
evaporate	evapora
evaporation	evaporare
eviscerate	eviscera
evisceration	eviscerare
avoid	evita
exacerbate	exacerba
exacerbation	exacerbare
exaggerate	exagera
exaggeration	exagerare
exalt	exalta
exaltation	exaltare
examine	examina
examination	examinare
exasperate	exaspera
exasperation	exasperare
excavate	excava
excavation	excavare
exceed	exceda
excite	excita
excitation	excitare
exclaim	exclama
exclamation	exclamare
excrete	excreta
exhibit	exhiba
exhume	exhuma
exhumation	exhumare
exist	exista
exonerate	exonera
exoneration	exonerare
exhale	expira
expiration	expirare
explore	explora
exploration	explorare
export	exporta
exportation	exportare
exterminate	extermina
extermination	exterminare
release	externare
extirpate	extirpa
extirpation	extirpare
exult	exulta
exultation	exultare
stake out	jalona
gloat	jubila
jubilation	jubilare
swearing	jurare
apricot	cais
viewfinder	vizor
anagram	anagrama
wheelwright	rotar
salivary	salivar
secretary	secretar
secondary	secundar
individualistic	individualist
lacerate	lacera
laceration	lacerare
palpate	palpa
lament	lamenta
palpation	palpare
palpitate	palpita
lament	lamentare
palpitation	palpitare
lamination	laminare
parcel	parcela
stone	lapida
lapidation	lapidare
parley	parlamenta
parody	parodia
parody	parodie
legislate	legisla
legitimize	legitima
participate	participa
legitimation	legitimare
participation	participare
party	partid
bid	licita
bidding	licitare
Lydian	lidian
patenting	patentare
haven	liman
skating	patinare
limitation	limitare
penetrate	penetra
penetration	penetrare
melon	pepene
perforate	perfora
perforation	perforare
permit	permite
permute	permuta
permutation	permutare
peroration	perorare
persevere	persevera
persist	persista
persuade	persuada
perturb	perturba
pilot	pilota
piloting	pilotare
spur	pinten
grind	pisare
plagiarize	plagia
plantation	plantare
crease	plisa
ponder	pondera
postulation	postulare
precede	preceda
precipitate	precipita
precipitation	precipitare
predestine	predestina
predestination	predestinare
predetermine	predetermina
predominate	predomina
predominance	predominare
premeditate	premedita
premeditation	premeditare
prize	premia
worry	preocupa
concern	preocupare
prepare	prepara
preparation	preparare
provide	presta
pantheon	panteon
deprive	priva
deprivation	privare
privilege	privilegia
proceed	proceda
process	procesa
processing	procesare
proclaim	proclama
proclamation	proclamare
procreate	procrea
procreation	procreare
procure	procura
acquirement	procurare
profane	profana
desecration	profanare
practice	profesa
profession	profesare
progress	progresa
proliferate	prolifera
proliferation	proliferare
propel	propulsa
propulsion	propulsare
prospect	prospecta
prospecting	prospectare
prosper	prospera
protest	protestare
powder	pudra
mistreat	maltrata
mistreatment	maltratare
pulsate	pulsa
pulsation	pulsare
manipulate	manipula
manipulation	manipulare
manufacture	manufactura
manufacturing	manufacturare
tide	maree
edge	margine
marination	marinare
massacre	masacra
massacre	masacrare
serial number	matricula
meditate	medita
meditation	meditare
militate	milita
mimic	mima
mimicry	mimare
mining	minare
wonder	mirare
model	modela
shape	modelare
moderate	modera
moderation	moderare
modulate	modula
modulation	modulare
molestation	molestare
worldly	monden
mountains	montan
joining	montare
motivate	motiva
motivation	motivare
murmur	murmura
mutilate	mutila
mutilation	mutilare
require	necesita
negotiate	negocia
level	nivela
leveling	nivelare
numbers	numere
obliterate	oblitera
obliteration	obliterare
observe	observa
observation	observare
occult	oculta
officiate	oficia
omit	omite
wave	ondula
curling	ondulare
operation	operare
opinate	opina
oppress	oprima
orientate	orienta
orientation	orientare
ornament	ornamenta
