someone	a-
rolling	naabąąs
carrying	neiłchʼąął
carrying	yidiłchʼąął
taking	haiłchʼąął
carrying	yíłchʼąął
hanging	dilchʼąął
pulling	haiłtsʼǫǫd
pulling	yidiłtsʼǫǫd
gawking	naatsʼǫǫd
straining	ditsʼǫǫd
sticking	haatsʼǫǫd
suck	yiyiiłtʼod
rowing	chʼííłʼeeł
lugging	chʼííłjiid
lugging	haiłjiid
try	yínítááh
on all fours	dildlóósh
on all fours	haaldlóósh
on all fours	yisdáldlóósh
running	yílyeed
running	iilyeed
running	haalyeed
run	dilyeed
crawl	diʼnééh
dashing	haaltaał
dash	diltaał
sliding	haateeł
slide	diteeł
sliding	neiłteeł
jog	diltłʼééh
fly	ditłíísh
flying	haatłíísh
lugging	yíłjiid
run	dijeeh
run	haajeeh
run	iijeeh
running	yíjeeh
gray	dinilbá
coal	łeejin
gray outcropping	haabá
white outcropping	haagai
red outcropping	haachiiʼ
black outcropping	haajin
white outcropping	haatso
gray	haasbá
white	haasgai
yellow	haastso
circle	násbá
circle	náshchiiʼ
circle	násgai
circle	nástso
circle	náshjin
circle	náshtłʼizh
gray	naabá
white	naagai
red	naachiiʼ
black	naajin
yellow	naatso
gray strip	dzíbá
yellow strip	dzítso
red strip	jíchiiʼ
black strip	jíjin
gray ridge	deesbá
white ridge	deesgai
yellow	deestso
black ridge	deeshjin
red ridge	deeshchiiʼ
barks	nahałʼin
opening	dighaał
spin	yiyiiłhis
sliding	chʼéyéés
sliding	iiyéés
sliding	diyéés
sliding	naayéés
sliding	yíyéés
sliding	yiyéés
squirming	naalyiz
turning	néíłhéés
cylindrical	níyiz
go	dikááh
chʼémáás	dimáás
diimáás	diimáás
wisdom	hódzą́
doorway	chʼéʼétiin
crackles	dilkʼis
swallow	eʼelneeh
reconnaissance	haʼalzííd
ascension	haʼasdzá
pulling	yidiidzį́į́s
stagger	diidzééh
staggering	adidzééh
staggering	hadidzééh
hanging	sibaal
turning	nábał
turning	néíłbał
turning	náyoołbał
turning	náábał
flap	yiyiiłbał
hold	yółbaal
hanging	yidiłbaał
locate	naazkaad
bouncing	naatłizh
ripping	haizǫ́ǫ́s
pulling	yidizǫ́ǫ́s
pulling	chʼíízǫ́ǫ́s
inside out	násdǫ́ǫ́z
turning	néízǫ́ǫ́s
floating	chʼéʼeeł
floating	haaʼeeł
floating	yíʼeeł
pelt	asgąʼ
clavicle	atʼog
side	atságah
doll	awééshchíín
incense	ayahdidiʼnił
bee naʼadloʼí	bee naʼadloʼí
bee ótsaʼí	bee ótsaʼí
emergency	nisihwiinídéél
Puertocito	Tʼiistsoh
Teesnospos	Tʼiis Názbąąs
Toadlena	Tóháálį́
coffee pot	jaaʼí
sickly person	kanaagháii
bowguard	kʼeetʼoh
jelly cake	neesdog
oats	taaskaal
woodpecker	tsįįłkaałii
mud puppy	tsilghááh
break	yiyiiłtsʼił
pops	dilchxosh
on all fours	naaldloosh
hoof	akéshgaan
children	áłchíní binaaltsoos
sticky	dijééʼ
sticking	bídiijeeh
log	nástáán
Washington	Ahééhałtį́į́h Hahoodzo
lawyer	aghaʼdiitʼaahii
sleeve	agąąziz
palm	álátłʼááh
Louisiana	Tónteel Chʼínílį́
goes out	nitséés
goes out	anitséés
cough	diilkos
extinct	ádįįh
work	ndaʼiiníísh
working	niilníísh
crescent moon	ooljééʼ dah yiitą́
arrow	yiyiiłkah
smooth	yidiiłkǫǫh
election	naaltsoos ahiʼnííł
putting	iinííł
bitsʼaʼ	tsʼaaʼ
effort	dildzííł
drive	yidileeh
roper	adiloh
death	anoonééł
death	aniné
resources	bee iináanii
soul	iiʼ sizíinii
mountainside	dziłbąąh
mountain	dziłgiizh
mountain peak	dziłlátah
foot	dziłtsíín
foot	dziłtsį́į́gi
foot	dziłtsį́į́góó
summit	dziłghą́ą́ʼ
stinkbug	wóniłchxoní
sail	yikǫs
red	halchííʼ
gum	awóchiiʼ
gum	awótsįʼ
kid	tsíłkę́ę́h
ant	wólázhiní
bend	yiitáás
gelding	łį́į́ʼkąʼii
mare	łį́į́ʼtsaʼii
female	tsaʼii
mare	łį́į́ʼ yáshchʼį́į́d
flesh	tsiih
rock	tsééh
shoe	kééh
town	kįįh
clothing	ééh
body	tsʼííh
afternoon	hííłchʼįʼ
chewing gum	jeełigai
hawk	atsáłchííʼ
eagle	atsáłbáí
hawk	atsáłtsoii
belly	atsą́
fetus	atsą́stíín
mind	ániʼ
dark	hodiłhił
turquoise	hodootłʼizh
yellow	haltso
glitter	hodisxǫs
glitter	-SǪS
top	aghą́ą́ʼ
sandstone	tséłchííʼ
sanctification	alzį́į́h
sniff	dilchį́į́h
pregnant	-TSĄĄD
death	da’astsą́
zenith	yá’ałníí’
true	aaníí
lie	yoochʼííd
plastic	diłhį́hí
melt	diłhį́į́h
loves	ayóóʼáyóʼní
melt	yiyį́į́h
sniff	hadilchą́ą́ʼ
melt	nahidiłhį́į́h
thaw	náhályį́į́h
melting	ńʼdíłhį́į́h
candle	akʼah diltłiʼí
sniff	yiyiiłchįh
water	tooʼ
water	taaʼ
water	táyiʼ
soil	łeeʼ
shoes	kééʼ
breeze	yíchʼííh
eggshell	ayęęzhii bitsʼiil
piece	atsʼiil
crust	yaskááʼ
month	yiził
bucking	naalgeed
hoop	bąąs
red ochre	chííh
playing cards	adikaʼ
falls	-KAAD
flat	dikad
month passes	-ZID
treat	sizid
grasp	yiyiitsah
bite	-TSAʼ
square	dikʼą́
cake	bááh łikaní
angle	-KʼĄĄD
fall	yikęęs
month	ńdízííd
birthplace	hoʼdizhchį́įgi
stem	atsiin
summer	-ZHĮ́
summer	díízhíní
branch	atsʼáozʼaʼ
pine cone	tsíítsʼiil
winter	-HAI
winter	dííghaaí
spring	-DĄĄD
shatter	-TSʼIL
casting	eʼeʼáád
jealousy	łeʼ
noose	łoh
powdery	dibah
foreigner	déʼéyóní
snags	adishah
barbed wire	béésh adishahí
chain	béésh daʼahólzhaʼí
believer	oodláanii
bronco	doozhǫǫhii
captor	asnáahii
dew	dahtooʼ
eyeglasses	nákʼeesinilí
explosion	adeesdǫǫh
fleet lizard	naalnoodí
hate	joodlá
jerky	ałkʼíniilgizh
kind	joobaʼ
killer	iisxíinii
elsewhere	łahdi
laxative	agháhwiizídí
massacre	naʼaztseed
voice	iinééʼ
full moon	hanííbą́ą́z
poker	honishgish
believe	oodlą́
cut	-GIZH
malevolence	iiníziin
fat	-KʼAII
long-haired	-TSʼOZ
forsakes	iidiʼaah
beep	biib
club	hał
date	hił
vagina	jóósh
more	adih
infusion	kétłoh
worm	chʼiish
boil	chʼozh
eagle trap	ood
spit	shééʼ
igniter	tłʼééł
fringe	tsag
coal	tsííd
target	dajółdonígíí
comb	átágoʼ
spectator	bináałii
translucent red	bighájíchiiʼ
translucent yellow	bighádzítso
translucent blue	bighádzideetłʼizh
translucent gray	bighádzíbá
translucent white	bighádzígai
ndaalnishí	naalnishí
treetop	tsinlátah
design	adichʼą́ą́h
movie	daʼnílʼį́
dáʼ-	dą́ą́ʼ
cornfield	dáʼákʼeh
stalk	akaz
movie	daʼnílʼínígíí
strain	naaldzil
pozole	haníígaii
whippoorwill	hooshdódii
bottom	atłʼááh
water	tódááʼ
mustache	adághaaʼ
lips	azábąąh
lipstick	zábąąh bee yichxíhí
even though	azhą́
or	doodago éiyá
and	-iiʼ
then	índída
dirt floor	łeeshtah
only	éiyá
mountain soil	dziłeezh
lower jaw	ayaadááʼ
lip	adááʼ
crumbly	dizéí
rennet	atsʼǫʼ
blood	anádił
blood	azahdił
blood	anéʼédił
lobster	tónteel chʼoshtsoh bíláshgaantsohí
sleet	ńló yázhí
extend	chʼíhonítʼiʼ
appendix	achʼííʼ bitsʼániʼnísą́
twenty-three	naadįįtááʼ
famine	hodichin
witch	ánítʼį́į́hii
fledgling	chąąłtązhii
scent	alchįįh
vinegar	tó díchʼííʼí
nasal septum	áchį́į́shnííʼ
tip	áchį́į́hlátah
bone	áchį́į́stsʼiin
nostrils	áchį́į́stah
throat	ayaayááh
sparrow	yaayááhálzhiin
bone	azhiʼtsʼin
name	ázhiʼ
Ursa Major	náhookǫs bikąʼii
Cassiopeia	náhookǫs biʼáadii
dysentery	chąądił
downward	adah
mouse	jį́ʼaniʼįįhí
goshawk	ginítsoh
toe	akétsoh
Solanaceae	nááłtsoii
Dalmatian	łééchąąłkiizh
sternum	ayidtsʼin
flesh	ayidítsįʼ
steel	bééshtłʼééł
sole	kétłʼááh
hot dog	achʼííʼ yázhí
tip	atsólátah
questioner	naʼídíłkidii
carbon dioxide	níłchʼi díílidígíí
acid	adiłidí
winter	chʼéhááh
dream	neiyeeł
glisten	dichił
bowstring	ałtį́į́tłʼóól
cake	basdéél
clitoris	adzástsooʼ
clitoris	adástsooʼ
turtle shell	tsisteeł bitsʼaʼ
peanut	Bilagáana bineeshchʼííʼ
clear	niłtsʼílí
bat	jaaʼniłtsʼílí
buckskin	abaní
ear	ajaayiʼ
pie	biiʼ sitłéʼé
clear	yiiłtsʼįįł
clear	niłtsʼį́į́l
speech	yátiʼ
bird	ayáásh
tributary	idiidlį́
flow	yílį́
flow	chʼínílį́
flow	nílį́
stream	tooh nílínígíí
flow	deezlį́
flow	názlį́
flow	náálį́
flow	íílį́
flow	chʼéélį́
flow	ninílį́
flow	ahéénílį́
washcloth	éljołí
flow	bighánílį́
waterpipe	béésh tó nílínígíí
culvert	béésh tó bighádaazlínígíí
blood circulatory system	dił atsʼíístaazlíní
snowstorm	yichííł
old	haastih
ruin	kinsááʼ
senility	haʼastih
old	diitííh
overflow	wóʼą́ą́lį́
aging	yitih
ayóí	áyóʼní
say	ání
biniiyé	ííłní
torch	kǫʼ nooyééł
pass	halzhíísh
filthy water	tóchxǫ́ʼí
house	kinchǫ́ʼí
get	shóyoołtʼeeh
tonsil	ayaayááhkaz
lusty	ałjił
pot	ásaah
hold	déesʼeez
mushroom	nááʼádįįh
nasty	hachįʼ
disturb	náháłchįįh
raincoat	níłtsą́ʼééʼ
tartar	awóchaan
placenta	yaałáí
toothache	awooʼ diniih
toothbrush	awooʼ bee yichʼiishí
adult	hóyáanii
heel	kétal
foot	atsíín
middle of nowhere	tʼáá dzígaidi
white	hoogááh
edible	yidáanii
poverty	téʼéʼį́į́h
vomit	akwih
crystal	tséghádiʼńdínii
pain	ndeezniiʼ
harrow	akʼinaalzhoodí
harrow	akʼinaʼalzhoodí
curdled milk	abeʼ neeskʼįhígíí
curdle	nilkʼįh
baa	meeʼ
town	kintah
earthworm	łeechʼosh
hot	neezgai
Madagascar	Mágí Bitseeʼ Noodǫ́zí Bikéyah
white shell bead	yoołgaii
shaggy	ilí
special	spéshelígíí
cat	másí
pear	bitseeʼ hólóní
apricot	didzétsoh yázhí
wine	chʼil naʼatłʼoʼii bitooʼ
pumpkin	naayízíłtsooí
lettuce	chʼil łigai
broccoli	chʼil dootłʼizh
throw	ajiiłhan
throw	iijiłneʼ
thematic	yá-
collar	zénáztʼiʼí
fire engine	kǫʼ yiniłtsésí
fire extinguisher	kǫʼ bee niltsésí
forty	dízdiin
fifty	ashdladiin
piano	biwooʼ hólóní
American wigeon	naalʼeełí bitsiitʼáád łigaaígíí
sagebrush	tsʼah
sixty	hastą́diin
cardinal	-tsʼáadah
bowed	shiyish
New Zealand	Łeesdísí Bikéyah
Federated States of Micronesia	Eʼeʼaahjí Tónteel Bikáaʼdi Kéyah Ałhidadiidzooígíí
Papua New Guinea	Chooyééł Dineʼé Bikéyah
phone signal	yił hidideełígíí
