approbatur	A
pond	lampi
collar	panta
put out	sammuttaa
elder	selja
backside	taka
poof	puff
seam	sauma
kilotavu	kt
copula	kopula
ho	horo
glass	lasi
lithograph	lito
eat	syöpyä
freelance	freelance
now	nyt
crazy	kako
Ochotonidae	pika
give	juottaa
horsefly	paarma
log	tela
snap	naps
mounting	hela
thank	kiittää
oh	sus
human	inhimillinen
juicy	mehukas
automobile	kaara
Ethiopia	Etiopia
Madagascar	Madagaskar
Croatia	Kroatia
Luxembourg	Luxemburg
Acarina	punkki
Cyprus	Kypros
Lebanon	Libanon
Saudi Arabia	Saudi-Arabia
Superman	Teräsmies
blind	sokea
river	joki
Afro-	afro-
deposit	pano
dog	peni
Juliet	Julia
calm	rauhallisesti
flee	paeta
close	sulkea
generation	sukupolvi
sharp	terävä
nationality	kansallisuus
symptom	oire
scientist	tiedemies
suicide	itsemurha
peaceful	rauhallinen
enemy	vihamies
fit	sopia
repeat	toistaa
swimming	uinti
foreign country	ulkomaa
defiance	uhma
ejaculation	siemensyöksy
comfortable	mukava
lung cancer	keuhkosyöpä
grandma	mummo
greedy	ahne
meningitis	aivokalvontulehdus
driver	ajaja
turn	kääntää
weapon	ase
artificial	keinotekoinen
kidney	munuainen
possessive pronoun	possessiivipronomini
forget	unohtaa
foreign minister	ulkoministeri
orchestral music	orkesterimusiikki
poverty	köyhyys
positive	positiivinen
cross	ylittää
sight	näkö
joint	nivel
improve	parantaa
anti-tank missile	panssarintorjuntaohjus
computer program	tietokoneohjelma
hurt	sattua
seventy	seitsemänkymmentä
intolerance	suvaitsemattomuus
bisexuality	biseksuaalisuus
fit	naurukohtaus
polite	kohtelias
goal	päämäärä
sacrifice	uhrata
Eurooppa	Pohjois-Eurooppa
heart attack	sydänkohtaus
steady	vakaa
operating system	käyttöjärjestelmä
album	albumi
cake	kakku
urbanization	kaupungistuminen
hate	vihata
thought	ajatus
need	tarvita
literacy	lukutaito
work	teos
steel	teräs
sand	hiekka
hotel	hotelli
folklore	kansanperinne
ridiculous	naurettava
shade	varjo
island state	saarivaltio
pronounce	ääntää
win	voittaa
trial	oikeudenkäynti
Nazi	natsi
mild	mieto
avenge	kostaa
loan	lainata
serious	vakava
plan	suunnitelma
feel	tuntea
bisexual	biseksuaali
distant	kaukainen
street	katu
emperor	keisari
bilingual	kaksikielinen
chamber	kamari
sexual	seksuaalinen
explain	selittää
small child	pikkulapsi
vomit	oksentaa
belief	uskomus
Asian	aasialainen
cry	itkeä
cut	leikata
colourful	värikäs
extinction	sukupuutto
culture	kulttuuri
odd	kumma
singer	laulaja
statue	patsas
hunger	nälkä
destruction	tuho
faithful	uskollinen
unbelievable	uskomaton
stay	pysyä
uninhabited	asumaton
nut	pähkinä
extreme	äärimmäinen
vacuum	imuroida
pray	rukoilla
possibility	mahdollisuus
impossible	mahdoton
verge	ääri
suck	imeä
hepatitis	hepatiitti
prey	saalis
replace	korvata
existence	olemassaolo
encyclopedia	ensyklopedia
lucky	onnekas
density	tiheys
photo	foto
soldier	soturi
orange	oranssi
pink	pinkki
sixth	seksti
Maya	maya
artery	arteria
Lao	lao
fescue	nata
merge	sulautua
kidney cancer	munuaissyöpä
dew	kaste
pallbearer	arkunkantaja
kakapo	kakapo
hepatoma	maksasyöpä
cerebral edema	aivoödeema
oedema	ödeema
radiation therapy	sädehoito
Jesus	Jeesus
brain cancer	aivosyöpä
inflammation	tulehdus
hoop	vanne
foreigner	vierasmaalainen
taxi	taksi
basilica	basilika
lobby	aula
bully	vittuilija
wart	syylä
where	minne
hundredth	penni
competition	kisa
balance	saldo
crime	atari
home	asunto
nation	civis
linocut	lino
koneellinen kääntäminen	koneellinen kääntäminen
sweet	nanna
lute	pipa
bullet	pati
totally	ihan
remission	remissio
swot	hikari
pancreas	haima
spleen	perna
Kaballah	kabbala
vein	vena
biceps	haba
Komin tasavalta	Komi
even	tasa
person	henkilö
pancreatic cancer	haimasyöpä
brain wart	aivosyylä
yes	kyyl
nephritis	munuaistulehdus
hepatitis	maksatulehdus
image	imago
pig	nasu
mother	muori
Dionysus	Dionysos
elektroniikkalaiteromu	SER
definition	definitio
ghetto	getto
Seelanti	Uusi-Seelanti
sand	santa
currency	dobra
Dakota	Dakota
grain	vilja
Hegira	hidžra
bavaroise	bavarois
Gaulish	galli
God	Jumala
shit	paska
morning star	aamutähti
Neptune	Neptunus
galaxy	galaksi
chemistry	kemia
Cheddar cheese	cheddar
foil	folio
Tamagotchi	tama
amoeba	ameba
Earth	maailma
sausage	makkara
Aborigine	aborigine
half brother	velipuoli
sibling	sisarus
field drag	lata
vocational school	amis
silver	hopea
woodpecker	tikka
pharaoh	faarao
tavern	taverna
allative	allatiivi
bang	pum
Sanskrit	sanskrit
earache	otalgia
ice hockey	kendo
Esperanto	esperanto
song	fado
candyleaf	stevia
saxophone	foni
kiss	suudella
noise	melu
Gaul	Gallia
aleph	alef
walk	käydä
Moor	mauri
matte	matta
crevice	halkeama
ash	tuhka
coal	hiili
-tta	-ttä
bunny	pupu
kolmiottelu	triathlon
Galician	galego
bully	vittuilla
lesbian	lesbo
vagina	emätin
prostitute	huora
prostitute	prostituoitu
pimp	parittaja
harlot	portto
fuck	nussia
fuck	hässiä
pain in the ass	vittumainen
annoy the hell out of	vituttaa
annoyed	vitutus
angry	vittuuntunut
annoying	vittuilu
jerk-off	runkku
Zaza	zaza
huorin tekeminen	huorin tekeminen
adultery	huorinteko
adulterer	huoruus
adulterer	huorintekijä
couple	pari
suuhunpantava	pantava
snack	suuhunpantava
damn	hitto
pussy	tussu
Oromo	galla
vagina	pimppi
tsk	soo
so	niin
shining	loistava
hell	helvetti
unknown place	hevonvittu
cock	kyrpä
vituttaa	kyrpii
annoyed	kyrpiintynyt
also	kans
altogether	lopen
frequentative	-ista
bible	biblia
gay bar	homobaari
paralyzed	halvattu
lump	kulli
have	omata
commit adultery	huorata
elytron	elytra
John	Johannes
devil	hiisi
on foot	jalan
Meuse	Maas
medium	keskikokoinen
lodicule	helve
Pan paniscus	bonobo
arse	pylly
bum	peppu
platinum	platina
obedience trial	toko
clamp	pinne
Antwerpian	Antwerpen
convenience food	eines
rear	takapuoli
load	panos
be horny	panettaa
thorn	oka
sand desert	hiekka-aavikko
stab	puukottaa
cock	mulkku
cardamom bread	pulla
semolina	manna
Victorian	viktoriaaninen
impregnate	siittää
English	englantilainen
load	panostaa
part	osa
oon	oot
Bambara	bambara
have	paneskella
scene	skene
nigger	neekeri
nigger	nekru
see	nääs
you know	tiäksä
like	niinku
head	polla
Somali	somali
Swaziland	Swazimaa
Hindustani	hindustani
boreal forest type	korpi
rayon	silla
loneliness	yksinäisyys
behave	käyttäytyä
tarantula	tarantella
pimp	sutenööri
remote control	kake
skirt	hame
call	homotella
call	huoritella
oops	ups
poker	pokka
Egyptian	egyptiläinen
tack	venda
navel	napa
Tanzania	Tansania
cervical vertebra	kaulanikama
spinal cord	selkäydin
backbone	selkäranka
vertebra	nikama
lumbar vertebra	lannenikama
sacrum	ristiluu
sacral vertebra	ristinikama
thoracic vertebra	selkänikama
thoracic vertebra	rintanikama
coccyx	häntäluu
grass	ruoho
Gorky	Gorki
doggy	hauva
hangover	krapula
ummah	umma
whither	kunne
tikanheitto	darts
Wiktionary	Wikisanakirja
mood	modus
jenever	genever
herpes	herpes
space	välilyönti
address	ossa
oneself	itse
first	ensin
negative verb	älä
raisin	rusina
lasagna	lasagne
codeword	krypto
European Union	Euroopan unioni
division	jako
totalizator	toto
line segment	jana
pornography	pornografia
mud	loka
harsh	turski
catch	juju
asento	pointe
tanning bed	solarium
ferment	natto
harrow	hara
year	vuonna
yo	jou
ambergris	ambra
his	hänen
arrowhead	nuolenpää
football	jenkkifutis
footballer	futari
tankard	kolpakko
volume	nide
but	mutta
carved wood	kuksa
lath	rima
bear	mesikämmen
cinnamon	kaneli
atom	atomi
cloudberry	hilla
bilberry	mustikka
strawberry	mansikka
raspberry	vadelma
lingonberry	puolukka
cranberry	karpalo
currant	viinimarja
mosque	moskeija
rock	kari
orc	örkki
slave	orja
only	ainoa
octopus	tursas
squid	kalmari
cuttlefish	seepia
nautilus	helmivene
mire	muta
tapir	tapiiri
cheetah	gepardi
tiger	tiikeri
porcupine	piikkisika
model	malli
travel	matkustaa
melt	sulattaa
northern gannet	suula
outspoken	suulas
bucket	sanko
frost	kuura
until	kunnes
prince	ruhtinas
princess	ruhtinatar
look	kas
royal	kuninkaallinen
bloke	kundi
sacrifice	uhrautua
victim	uhri
sleepy	uninen
tire	väsyttää
everyone	jokainen
cloven hoof	sorkka
platypus	vesinokkaeläin
Tachyglossus aculeatus	nokkasiili
elm	jalava
willow	paju
cypress	sypressi
almond	manteli
comb	kampa
brush	harja
veil	huntu
Hun	hunni
crazy	hullu
bus	busa
hood	huppu
hop	humala
price	hinta
sweat	hikoilla
grind	hioa
hiccup	hikka
hitchhike	liftata
hitchhiker	liftari
hitchhiking	peukalokyyti
pasture	laidun
Armageddon	Harmageddon
Semitic	seemiläinen
Russian	venäläinen
Swede	ruotsalainen
deficit	vaje
conquer	valloittaa
conqueror	valloittaja
power	valta
independent state	valtakunta
huge	valtava
fractional	mitätön
rotten	mätä
pee-pee	pili
second	toka
living room	tupa
hailstone	rae
hinge	sarana
archipelago	saaristo
predator	saalistaja
going	meno
punch	booli
milk	maito
million	miljoona
milliard	miljardi
minus	miinus
beg	kerjätä
kiwi	kiivi
unfamiliar	vieras
landslide	maanvyöry
wrongly	väärin
correctly	oikein
stomach	maha
here	tässä
there	siellä
smithy	paja
therefore	siksi
there	sinne
prison	vankila
prisoner	vanki
make	uittaa
how	kuinka
brass	messinki
copper	vaski
bronze	pronssi
prophet	profeetta
percent	prosentti
Nordic countries	Pohjoismaat
bomb	pommi
cheek	poski
molar	poskihammas
tooth	hammas
dentist	hammaslääkäri
physician	lääkäri
doctor	tohtori
farmhand	renki
ring	rengas
aware	tiedostaa
wise man	tietäjä
American mink	minkki
rhinitis	nuha
burl	pahka
hourglass	tiimalasi
accurate	tarkka
sour	hapan
tart	kirpeä
olla hiljaa	paras
period	kausi
month	kuukausi
day	vuorokausi
season	vuodenaika
fjord	vuono
volcano	tulivuori
condition	kunto
municipality	kunta
base	kanta
farm	kontu
womb	kohtu
presently	kohta
towards	kohti
trick question	kompa
hock	kinner
haze	auer
open	aueta
open	auki
closed	kiinni
thank you	kiitos
telephoto lens	tele
hut	maja
wasp	ampiainen
hornet	herhiläinen
bumblebee	kimalainen
insect	hyönteinen
dragonfly	sudenkorento
broad-winged damselfly	neidonkorento
beetle	kovakuoriainen
sawfly	pistiäinen
fly	kärpänen
mosquito	hyttynen
owlet moth	yökkönen
male	koiras
male	uros
female	naaras
viviparous lizard	sisilisko
Lacerta	Sisilisko
sea urchin	merisiili
out	ulkona
crater	kraatteri
fee	maksu
tuna	tonnikala
metric ton	tonni
tribe	heimo
Hector	Hektor
Trojan War	Troija
currant	korintti
shed	vaja
lick	nuolla
swallow	niellä
fear	pelätä
build	rakentaa
sound	soida
pull	vetää
take away	viedä
before	edelle
mammal	imettäväinen
bow	jousi
go	kulkea
tear	kyynel
elbow	kyynärä
elbow	kyynärpää
broth	liemi
shoulder	olka
orphan	orpo
nest	pesä
swallow	pääskynen
bile	sappi
horn	sarvi
sowing	touko
foot	tyvi
louse	täi
knife	veitsi
full	täysi
jalapeño	jalapeno
stranger	muukalainen
mug	muki
film	kalvo
squirrel	orava
violet	orvokki
czardas	csárdás
that	että
jamb	pieli
galangal	galanga
pie	pai
woman	elli
yellow	kelta
stick	varpa
bluster	uho
wake	vana
lab	labra
cinema	kino
Rastafarian	rasta
pajamas	pyjama
tugrik	tugrug
F-sharp	fis
polygamy	polygamia
bin	laari
basket	kori
glade	aho
rest	lepo
bush	puska
mist	ume
mesh fabric	havas
domme	domina
handle	ripa
grave accent	gravis
devil	saatana
Satan	sielunvihollinen
Komi	komi
Halloween	halloween
mast	masto
countryside	bonde
denomination	littera
female prostitute	ilotyttö
asshole	persereikä
hole	reikä
woman	muija
mallow	malva
constellation Aquarius	Vesimies
Aries	Oinas
smell	haistelu
huffing	imppaus
cake	bébé
smell	haistella
tag	hippa
plant	hina
shoot	oras
symphony	sinfonia
stable	vaka
fence	aita
crumb	muru
airport	lentokenttä
rekisteröity yhdistys	ry
piping	tere
VAT	alv
ecstasy	esso
xenon	ksenon
drill	pora
second-rate	sekunda
week	viikko
blunder	moka
police	polpo
alveolus	alveoli
needle	neula
fine powder	muha
litas	liti
Mr.	hra
sweet	nami
tin	tina
bogey	bogi
sweet	namu
spawn	kutu
tub	korvo
grass	kulo
toile	kuivakäymälä
hujan hajan	hujan
Vitu	vitu
bonnet	tanu
VHF	ula
bud	budi
virgin	impi
bamboo	bambu
yep	jep
trinket	hely
herdsman	paimen
gypsy	mustalainen
Romani	mustalaiskieli
Rom	romani
hot pot	hotpot
novel	romaani
delirium tremens	viinakramppi
hair of the dog	loiventava
weather condition	keli
before	ennen
search	haku
tag	tagi
sensation	kohu
quarter	neljäsosa
meat	liha
strong	tuju
always	alati
liquor	viina
alcoholism	alkoholismi
drink	ryyppy
hair of the dog	krapularyyppy
pussy-cat	mirri
trace	jälki
string	nuora
mange	kapi
speed	piri
tahr	tari
help	apu
or	tahi
motorist	autoilija
clause	lause
meadow	keto
red ink	pune
market	tori
strategist	strategi
unit of measurement	panni
lat	lati
collective noun	-sto
illusion	lume
ox	härkä
twig	varpu
phi	fii
carcass	ruho
carpet	matto
limb	jäsen
comma	komma
Mafioso	mafioso
foal	varsa
oar	airo
tendon	jänne
ice age	jääkausi
icicle	jääpuikko
peg	puikko
goat	vuohi
polar bear	jääkarhu
shaft	aisa
start	alku
begin	alkaa
step	astua
grade	aste
marriage	avio
vinegar	etikka
heron	haikara
put	solutus
red	puna
goose	hanhi
harrow	äes
hearts	hertta
duke	herttua
right	heti
lust	himo
log	hirsi
elevator	hissi
court	hovi
honey	hunaja
inexpensive	huokea
scabbard	huotra
seal	hylje
fat	ihra
unfastened	irti
grain	jyvä
state	asema
put	asettaa
bracket	sulku
pearl	helmi
monster	hirmu
wedding night	hääyö
little	pikku
half	puoli
poo	kakka
emergency	hätä
plant	kasvi
eater	syöjä
stalk	varsi
tail	pyrstö
forest	metsä
spectacles	silmälasit
straight	suora
cramp	kramppi
dip	kastaa
juniper	kataja
time	kerta
woodland	huhta
countryman	maalainen
dead	marras
autumn	syys
revenge	kosto
church	kirkko
rifle	kivääri
chum	kuoma
pit	kuoppa
dig	kaivaa
loan	laina
choir	kuoro
yarn	lanka
shovel	lapio
cargo	lasti
camp	leiri
rest	levätä
pole	ranka
trunk	runko
lock	lukko
plum	luumu
medicine	lääke
homework	läksy
middle	keski-
malt	mallas
ore	malmi
berry	marja
wax	vaha
bride	morsian
gravel	mura
cloudberry	muurain
mill	mylly
poison	myrkky
storm	myrsky
neighbor	naapuri
leather	nahka
nail	naula
rip	haljeta
paralyse	halvata
moment	hetki
split	lohjeta
tofu skin	yuba
button	nappi
knob	nuppi
turnip	nauris
cowshed	navetta
barley	ohra
wheat	vehnä
rye	ruis
thorn	oas
experience	kokea
straw	olki
bean	papu
priest	pappi
head	bolla
rear	perä
maid	piika
soured milk	piimä
bottom	pohja
knee	polvi
barrier	puomi
sail	purje
beech	pyökki
bush	pensas
lady	rouva
financing	rahoitus
examination	tarkastus
check	tarkastaa
freight	rahti
fresh	raikas
shore	ranta
breast	rinta
wheel	ratas
quarrel	riita
interpreter	tulkki
soap	saippua
hospital	sairaala
scissors	sakset
lightning	salama
crack willow	salava
smoke	savu
smoke	savuttaa
mixture	seos
mix	sekoittaa
sifter	seula
company	seura
bind	sitoa
fishing line	siima
trample	sortaa
mash	sose
forge	takoa
rod	tanko
battle axe	tappara
corral	tarha
need	tarve
good	tavara
tent	teltta
tar	terva
act	teko
ladder	tikapuut
comrade	toveri
sliver	tikku
match	tulitikku
customs	tulli
judge	tuomari
tobacco	tupakka
peat	turve
udder	utare
scales	vaaka
nitrogen	typpi
öre	äyri
people	väki
sour milk	viili
wild	villi
lease	vuokra
thief	varas
calf	vasikka
wagon	vaunu
net	verkko
arshin	arsina
sign	allekirjoittaa
table	pöytä
Elijah	Elias
bridge	talla
meow	miau
Long Island	Long Island
option	optio
logic	looginen
hem	helma
risk	riskeerata
fuzzy	hama
rumour	huhu
message	sanoma
level	taso
Saka	saka
star	stara
peg	tappi
deadly nightshade	belladonna
airplane	leko
Teflon	teflon
indoor ice rink	jäähalli
shot	hauli
rim	reuna
murrelet	murri
Atlantic bonito	sarda
passion fruit	granadilla
Taurus	Härkä
clothes	sopa
penis	molo
sarcasm	sarkasmi
delivery	anto
tree	hako
off-white	kimo
mead	metu
Goth	gootti
anomaly	anomalia
die	noppa
strait	salmi
bear	otso
observatory	observatorio
plant	porro
file	filu
faucet	hana
aitch	hoo
many	monta
lieutenant	luti
horse	hoppa
suurin alaraja	infimum
pienin yläraja	supremum
Kenya	Kenia
sledgehammer	leka
cherub	putto
curve	kaari
quagmire	hete
Joanna	Johanna
pan	pannu
barren	maho
Pythagoras	Pythagoras
wretch	raukka
lazy	laiska
alchemy	alkemia
god	Tursas
starfish	meritähti
sea cucumber	merimakkara
crinoid	merililja
echinoderm	piikkinahkainen
wombat	vompatti
serpent star	käärmetähti
great white shark	valkohai
hammerhead	vasarahai
basking shark	jättiläishai
whale shark	valashai
anteater	muurahaiskarhu
sloth	laiskiainen
camel	kameli
dromedary	dromedaari
puffin	lunni
albatross	albatrossi
pea soup	hernekeitto
soup	keitto
Palestinian	palestiinalainen
mammal	nisäkäs
Lynx	Ilves
constellation Ursa Major	Iso karhu
Ursa Minor	Pieni karhu
constellation Antlia	Ilmapumppu
constellation Apus	Paratiisilintu
constellation Ara	Alttari
constellation Auriga	Ajomies
constellation Boötes	Karhunvartija
constellation Caelum	Veistotaltta
constellation Cancer	Krapu
constellation Canis Major	Iso koira
Canis Minor	Pieni koira
constellation Carina	Köli
Cassiopeia	Kassiopeia
constellation Centaurus	Kentauri
Cepheus	Kefeus
constellation Cetus	Valaskala
constellation Chamaeleon	Kameleontti
chameleon	kameleontti
constellation Circinus	Harppi
constellation Columba	Kyyhkynen
Berenike	Bereniken hiukset
constellation Corona Australis	Etelän kruunu
constellation Corona Borealis	Pohjan kruunu
constellation Corvus	Korppi
Crater	Malja
constellation Crux	Etelän risti
constellation Canes Venatici	Ajokoirat
Shan	shan
clementine	klementiini
watermelon	vesimeloni
passion fruit	passionhedelmä
Canary melon	hunajameloni
pomegranate	granaattiomena
chestnut	kastanja
papaya	papaija
gooseberry	karviaismarja
Empetrum nigrum	variksenmarja
bog bilberry	juolukka
bear	nalle
smell	haju
frost damage	halla
after	jälkeen
shotgun	haulikko
with	kanssa
wound	haava
attack	hyökkäys
Britannia	Iso-Britannia
Papua	Papua-Uusi-Guinea
Emirates	Arabiemiirikunnat
Bivalvia	simpukka
gastropod	kotilo
slug	etana
cephalopod	pääjalkainen
annelid	nivelmato
cockroach	torakka
ladybird	leppäpirkko
grasshopper	heinäsirkka
praying mantis	rukoilijasirkka
hover-fly	kukkakärpänen
fruit fly	banaanikärpänen
fruit fly	hedelmäkärpänen
springtail	hyppyhäntäinen
velvet worm	käsnäjalkainen
lob worm	kastemato
earthworm	liero
lobster	hummeri
acorn barnacle	merirokko
crustacean	äyriäinen
putt	putti
threaten	uhkailla
Ukrainian	ukraina
outer space	ulkoavaruus
blind gut	umpisuoli
first	eka
glue	liimata
union	liitto
lens	linssi
more	lisää
reproduction	lisääntyminen
litre	litra
gram	gramma
candela	kandela
freedom	vapaus
torture	kidutus
push	työntää
reactor	reaktori
diamond	timantti
topaz	topaasi
spitz	pystykorva
wonderful	ihmeellinen
factory	tehdas
action	toiminta
operation	toimenpide
European mink	vesikko
fist	nyrkki
fungus	sieni
chanterelle	kantarelli
Cantharellus	vahvero
fly agaric	punakärpässieni
amanita	kärpässieni
destroying angel	valkokärpässieni
death cap	kavalakärpässieni
panther cap	pantterikärpässieni
button mushroom	herkkusieni
brittlegill	hapero
polypore	kääpä
bolete	tatti
waxcap	vahakas
cep	herkkutatti
lactose	maitosokeri
sugar	sokeri
Cape of Good Hope	Hyväntoivonniemi
Tierra del Fuego	Tulimaa
Siberia	Siperia
Ladoga	Laatokka
Lake Superior	Yläjärvi
Caspian Sea	Kaspianmeri
Black Sea	Mustameri
Red Sea	Punainenmeri
White Sea	Vienanmeri
Baltic Sea	Itämeri
North Sea	Pohjanmeri
Inland Sea	Sisämeri
Mediterranean Sea	Välimeri
Arctic Ocean	Jäämeri
Norwegian Sea	Norjanmeri
Java	Jaava
Greenland	Grönlanti
Öland	Öölanti
Gotland	Gotlanti
Isle of Man	Mansaari
Castile	Kastilji
Crimea	Krim
Netherlands	Hollanti
Dutch	hollanti
mystical	mystinen
fist	koura
fistful	kourallinen
hearing	kuulo
become deaf	kuuroutua
poor	kurja
reason	järki
chromium	kromi
crystal	kristalli
wash	pestä
guinea pig	marsu
pinniped	hylje-eläin
animal	eläin
zoo	eläintarha
last	viimeinen
gas	kaasu
gaseous	kaasumainen
pattern	kaava
well	kaivo
hoof	kavio
constant	vakio
envious	kade
bryophyte	sammal
connect	yhdistää
compound	yhdiste
shiitake	siitake
Shiite	šiia
Sunni	sunni
face	kasvot
face	naama
guess	arvata
warning	varoitus
warn	varoittaa
condition	ehto
absolute	ehdoton
timeless	ajaton
quite	melko
debt	velka
mayo	majo
unstable	epävakaa
epoch	epookki
bath	saunoa
plan	riiuuyöaie
ride	ratsastaa
rider	ratsastaja
motorcyclist	motoristi
how	miten
drum	rumpu
drummer	rumpali
drum	rummuttaa
sin	synti
pitiful	säälittävä
pity	sääliä
yard	jaardi
mile	maili
ounce	unssi
scratch	raapia
ray	rausku
milk-cap	rousku
lichen	jäkälä
webcap	seitikki
mushroom	valmuska
anthrax	pernarutto
cholera	kolera
bubonic plague	paiserutto
whooping cough	hinkuyskä
bronchitis	keuhkoputkentulehdus
bronchus	keuhkoputki
